episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,6.3,8,0.0,0.974077,,,,,,0.01,
2,36.16,51,0.01,0.974077,,,,,,0.01,
3,51.43,39,0.01,0.974077,,,,,,0.01,
4,15.78,22,0.02,0.974077,,,,,,0.01,
5,26.77,34,0.05,0.967864,-0.515263,,13.39226,,,0.01,
6,62.36,42,0.05,0.967864,,,,,,0.01,
7,83.44,56,0.06,0.967864,,,,,,0.01,
8,59.11,43,0.06,0.967864,,,,,,0.01,
9,81.58,56,0.07,0.967864,,,,,,0.01,
10,64.68,38,0.1,0.964726,65.100418,,14.251648,,,0.01,
11,73.21,49,0.1,0.964726,,,,,,0.01,
12,64.79,37,0.11,0.964726,,,,,,0.01,
13,67.0,40,0.11,0.964726,,,,,,0.01,
14,63.41,38,0.12,0.964726,,,,,,0.01,
15,71.27,42,0.14,0.964818,72.879677,,15.14593,,,0.01,
16,100.79,55,0.15,0.964818,,,,,,0.01,
17,67.1,41,0.15,0.964818,,,,,,0.01,
18,58.66,36,0.16,0.964818,,,,,,0.01,
19,65.37,40,0.16,0.964818,,,,,,0.01,
20,54.52,34,0.18,0.966092,81.616943,,16.161138,,,0.01,
21,102.82,58,0.19,0.966092,,,,,,0.01,
22,111.9,66,0.2,0.966092,,,,,,0.01,
23,116.04,63,0.21,0.966092,,,,,,0.01,
24,121.77,65,0.22,0.966092,,,,,,0.01,
25,97.24,55,0.25,0.965978,138.547363,,17.95645,,,0.01,
26,141.66,95,0.26,0.965978,,,,,,0.01,
27,123.61,76,0.27,0.965978,,,,,,0.01,
28,138.06,94,0.29,0.965978,,,,,,0.01,
29,121.0,82,0.3,0.965978,,,,,,0.01,
30,134.46,95,0.34,0.966867,140.947693,,19.706851,,,0.01,
31,408.93,316,0.39,0.966867,,,,,,0.01,
32,224.74,171,0.41,0.966867,,,,,,0.01,
33,155.68,119,0.43,0.966867,,,,,,0.01,
34,225.7,171,0.45,0.966867,,,,,,0.01,
35,219.73,169,0.56,0.967494,217.327072,,22.477646,,,0.01,
36,554.45,406,0.61,0.967494,,,,,,0.01,
37,580.11,435,0.67,0.967494,,,,,,0.01,
38,620.54,479,0.73,0.967494,,,,,,0.01,
39,176.16,160,0.75,0.967494,,,,,,0.01,
40,130.98,116,0.9,0.967056,289.81662,,26.210398,,,0.01,
41,563.4,491,0.97,0.967056,,,,,,0.01,
42,672.6,530,1.04,0.967056,,,,,,0.01,
43,378.4,348,1.09,0.967056,,,,,,0.01,
44,160.0,149,1.11,0.967056,,,,,,0.01,
45,113.98,110,1.26,0.966488,237.838272,,29.250526,,,0.01,
46,846.32,713,1.36,0.966488,,,,,,0.01,
47,164.87,154,1.38,0.966488,,,,,,0.01,
48,330.56,321,1.42,0.966488,,,,,,0.01,
49,696.43,557,1.5,0.966488,,,,,,0.01,
50,185.93,171,1.73,0.965273,242.394394,,32.340377,,,0.01,
51,438.23,393,1.91,0.965273,,,,,,0.01,
52,272.52,246,1.95,0.965273,,,,,,0.01,
53,332.19,294,1.99,0.965273,,,,,,0.01,
54,439.63,408,2.05,0.965273,,,,,,0.01,
55,251.94,245,2.22,0.96486,177.625351,,34.602285,,,0.01,
56,380.67,333,2.26,0.96486,,,,,,0.01,
57,327.42,287,2.3,0.96486,,,,,,0.01,
58,258.84,226,2.33,0.96486,,,,,,0.01,
59,365.63,326,2.38,0.96486,,,,,,0.01,
60,537.35,484,2.59,0.964649,188.733551,,36.98917,,,0.01,
61,225.29,196,2.62,0.964649,,,,,,0.01,
62,195.49,165,2.64,0.964649,,,,,,0.01,
63,307.21,270,2.68,0.964649,,,,,,0.01,
64,404.28,353,2.73,0.964649,,,,,,0.01,
65,203.43,179,2.86,0.964983,147.110519,,38.823082,,,0.01,
66,229.17,205,2.88,0.964983,,,,,,0.01,
67,336.16,309,2.93,0.964983,,,,,,0.01,
68,222.41,195,2.95,0.964983,,,,,,0.01,
69,46.36,57,2.96,0.964983,,,,,,0.01,
70,311.78,283,3.09,0.96538,124.284897,,40.391614,,,0.01,
71,282.41,260,3.13,0.96538,,,,,,0.01,
72,33.73,49,3.14,0.96538,,,,,,0.01,
73,203.36,174,3.16,0.96538,,,,,,0.01,
74,257.35,223,3.19,0.96538,,,,,,0.01,
75,242.98,204,3.29,0.965753,107.409424,,41.753812,,,0.01,
76,267.7,227,3.32,0.965753,,,,,,0.01,
77,187.54,163,3.34,0.965753,,,,,,0.01,
78,194.61,161,3.37,0.965753,,,,,,0.01,
79,119.5,116,3.38,0.965753,,,,,,0.01,
80,233.05,203,3.48,0.965744,87.665443,,42.889134,,,0.01,
81,150.25,121,3.5,0.965744,,,,,,0.01,
82,207.95,180,3.52,0.965744,,,,,,0.01,
83,238.77,203,3.55,0.965744,,,,,,0.01,
84,71.43,91,3.56,0.965744,,,,,,0.01,
85,66.3,74,3.63,0.965934,52.958755,,43.549115,,,0.01,
86,284.44,256,3.66,0.965934,,,,,,0.01,
87,61.55,70,3.67,0.965934,,,,,,0.01,
88,126.32,130,3.69,0.965934,,,,,,0.01,
89,48.16,60,3.7,0.965934,,,,,,0.01,
90,77.59,80,3.76,0.965784,25.541401,,43.888973,,,0.01,
91,62.31,78,3.77,0.965784,,,,,,0.01,
92,130.88,103,3.79,0.965784,,,,,,0.01,
93,44.11,50,3.79,0.965784,,,,,,0.01,
94,143.08,119,3.81,0.965784,,,,,,0.01,
95,136.44,112,3.86,0.965548,-0.129821,,43.896337,,,0.01,
96,198.88,172,3.88,0.965548,,,,,,0.01,
97,118.72,93,3.9,0.965548,,,,,,0.01,
98,151.27,126,3.92,0.965548,,,,,,0.01,
99,170.23,145,3.94,0.965548,,,,,,0.01,
100,205.99,184,4.03,0.965359,64.927628,,44.71261,,,0.01,
101,151.82,129,4.13,0.965359,,,,,,0.01,
102,177.13,148,4.15,0.965359,,,,,,0.01,
103,213.05,189,4.17,0.965359,,,,,,0.01,
104,242.97,217,4.2,0.965359,,,,,,0.01,
105,223.28,203,4.3,0.96543,76.385323,,45.671888,,,0.01,
106,20.39,22,4.31,0.96543,,,,,,0.01,
