episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
1,13.36,17,0.0,0.974077,,,,,
2,26.76,22,0.01,0.974077,,,,,
3,27.94,24,0.01,0.974077,,,,,
4,10.32,13,0.01,0.974077,,,,,
5,48.0,31,0.04,0.974492,63.171925,,0.776803,,
6,20.99,19,0.04,0.974492,,,,,
7,12.88,13,0.04,0.974492,,,,,
8,55.37,36,0.04,0.974492,,,,,
9,65.42,40,0.05,0.974492,,,,,
10,36.63,29,0.06,0.974575,89.811714,,1.914204,,
11,116.38,72,0.07,0.974575,,,,,
12,64.13,43,0.08,0.974575,,,,,
13,19.8,19,0.08,0.974575,,,,,
14,123.86,65,0.09,0.974575,,,,,
15,39.77,31,0.11,0.974187,151.460876,,3.885984,,
16,53.9,37,0.12,0.974187,,,,,
17,112.72,61,0.13,0.974187,,,,,
18,74.25,43,0.13,0.974187,,,,,
19,56.26,39,0.14,0.974187,,,,,
20,145.81,72,0.17,0.973907,173.743301,,6.064835,,
21,64.04,44,0.17,0.973907,,,,,
22,144.57,71,0.18,0.973907,,,,,
23,158.88,75,0.19,0.973907,,,,,
24,148.64,72,0.2,0.973907,,,,,
25,206.45,91,0.24,0.97374,257.963806,,9.29176,,
26,132.89,69,0.25,0.97374,,,,,
27,185.68,83,0.26,0.97374,,,,,
28,49.87,46,0.27,0.97374,,,,,
29,98.02,55,0.28,0.97374,,,,,
30,170.83,79,0.33,0.973968,225.687927,,12.044514,,
31,152.93,75,0.34,0.973968,,,,,
32,119.64,62,0.35,0.973968,,,,,
33,200.97,88,0.36,0.973968,,,,,
34,178.9,82,0.38,0.973968,,,,,
35,139.01,68,0.44,0.974024,245.750916,,15.176823,,
36,178.22,81,0.45,0.974024,,,,,
37,176.09,92,0.46,0.974024,,,,,
38,177.83,81,0.47,0.974024,,,,,
39,184.01,83,0.49,0.974024,,,,,
40,105.56,57,0.54,0.974055,242.156204,,18.251019,,
41,151.0,73,0.55,0.974055,,,,,
42,144.76,71,0.56,0.974055,,,,,
43,38.21,31,0.56,0.974055,,,,,
44,35.65,29,0.57,0.974055,,,,,
45,164.86,77,0.6,0.974111,173.364594,,20.420917,,
46,49.44,37,0.61,0.974111,,,,,
47,119.23,66,0.62,0.974111,,,,,
48,185.54,92,0.63,0.974111,,,,,
49,160.84,75,0.64,0.974111,,,,,
50,207.37,96,0.69,0.97429,207.199326,,22.993129,,
51,194.59,89,0.77,0.97429,,,,,
