episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
1,13.36,17,0.05,0.976164,26.804958,,0.332239,,
2,4.6,11,0.05,0.977962,3.757738,,0.377016,,
3,5.66,12,0.06,0.978464,5.093723,,0.437192,,
4,4.41,10,0.06,0.977992,3.778636,,0.489795,,
5,5.73,11,0.06,0.976793,4.634986,,0.564747,,
6,4.28,10,0.06,0.975848,3.885532,,0.60714,,
7,4.86,10,0.07,0.975145,4.842681,,0.666025,,
8,6.16,11,0.07,0.97347,5.444198,,0.750707,,
9,5.82,11,0.07,0.973076,7.000425,,0.82047,,
10,7.65,12,0.07,0.972082,7.955431,,0.93467,,
11,6.35,11,0.08,0.971149,6.2407,,1.014105,,
12,7.52,12,0.08,0.969999,7.114071,,1.113463,,
13,6.38,11,0.08,0.969232,6.859761,,1.188092,,
14,7.44,11,0.08,0.967586,6.216112,,1.290543,,
15,7.89,12,0.09,0.967167,12.590049,,1.39906,,
16,9.53,13,0.09,0.966371,9.826087,,1.544432,,
17,9.53,13,0.09,0.965332,10.019398,,1.687873,,
18,10.17,13,0.09,0.964364,13.109251,,1.856156,,
19,10.05,13,0.1,0.963614,13.284703,,2.013068,,
20,12.56,14,0.1,0.963075,17.249058,,2.224141,,
21,8.79,12,0.1,0.962617,8.447343,,2.329393,,
22,12.03,14,0.11,0.962095,13.411974,,2.507038,,
23,7.06,11,0.11,0.961586,2.87908,,2.545059,,
24,7.15,11,0.11,0.961004,1.720792,,2.572342,,
25,10.71,14,0.11,0.960489,9.93187,,2.697365,,
26,10.21,13,0.12,0.960301,9.576029,,2.807192,,
27,7.07,11,0.12,0.9597,0.894901,,2.831561,,
28,6.57,11,0.12,0.959278,0.499556,,2.834323,,
29,7.7,12,0.13,0.958701,1.79494,,2.864781,,
30,5.97,11,0.13,0.958294,-1.543936,,2.843065,,
31,5.83,11,0.13,0.958257,-1.29258,,2.820256,,
32,6.7,12,0.13,0.958229,-0.725257,,2.809929,,
33,7.0,12,0.14,0.958569,1.315219,,2.816512,,
34,5.7,11,0.14,0.958848,-2.011234,,2.790827,,
35,6.11,11,0.14,0.959047,-0.612488,,2.78393,,
36,6.65,12,0.14,0.95931,0.804984,,2.791745,,
37,5.55,11,0.15,0.959836,-1.687009,,2.762882,,
38,5.7,11,0.15,0.960775,-1.144075,,2.742003,,
39,5.68,11,0.15,0.960285,-2.833368,,2.72301,,
40,4.38,10,0.15,0.959804,-4.519763,,2.668775,,
