episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,6.3,8,0.0,0.974077,,,,,,0.0001,
2,36.16,51,0.01,0.974077,,,,,,0.0001,
3,51.43,39,0.01,0.974077,,,,,,0.0001,
4,15.78,22,0.02,0.974077,,,,,,0.0001,
5,26.77,34,0.05,0.974015,-0.515263,,13.39226,,,0.0001,
6,27.58,34,0.05,0.974015,,,,,,0.0001,
7,5.57,8,0.05,0.974015,,,,,,0.0001,
8,12.17,13,0.05,0.974015,,,,,,0.0001,
9,25.19,39,0.06,0.974015,,,,,,0.0001,
10,28.03,25,0.07,0.974023,0.634139,,10.649599,,,0.0001,
11,5.93,17,0.07,0.974023,,,,,,0.0001,
12,8.34,10,0.08,0.974023,,,,,,0.0001,
13,24.37,33,0.08,0.974023,,,,,,0.0001,
14,10.15,16,0.08,0.974023,,,,,,0.0001,
15,15.55,35,0.1,0.974036,0.584353,,5.027917,,,0.0001,
16,28.58,26,0.1,0.974036,,,,,,0.0001,
17,10.02,14,0.1,0.974036,,,,,,0.0001,
18,15.78,28,0.11,0.974036,,,,,,0.0001,
19,6.98,14,0.11,0.974036,,,,,,0.0001,
20,34.25,39,0.12,0.974031,-1.713388,,9.357284,,,0.0001,
21,7.89,33,0.13,0.974031,,,,,,0.0001,
22,9.54,37,0.13,0.974031,,,,,,0.0001,
23,32.51,37,0.14,0.974031,,,,,,0.0001,
24,7.33,25,0.14,0.974031,,,,,,0.0001,
25,43.16,46,0.16,0.974026,-0.288217,,7.890643,,,0.0001,
26,9.57,19,0.16,0.974026,,,,,,0.0001,
27,6.93,12,0.16,0.974026,,,,,,0.0001,
28,30.74,32,0.17,0.974026,,,,,,0.0001,
29,8.8,19,0.17,0.974026,,,,,,0.0001,
30,23.21,21,0.18,0.974028,0.52463,,7.522735,,,0.0001,
31,8.65,28,0.18,0.974028,,,,,,0.0001,
32,7.12,14,0.19,0.974028,,,,,,0.0001,
33,27.34,52,0.19,0.974028,,,,,,0.0001,
34,11.19,14,0.19,0.974028,,,,,,0.0001,
35,5.58,21,0.21,0.974035,0.559436,,4.79366,,,0.0001,
36,7.64,9,0.21,0.974035,,,,,,0.0001,
37,8.99,36,0.21,0.974035,,,,,,0.0001,
38,9.72,12,0.22,0.974035,,,,,,0.0001,
39,23.61,28,0.22,0.974035,,,,,,0.0001,
40,12.56,14,0.23,0.974048,0.598346,,5.438998,,,0.0001,
41,6.67,29,0.23,0.974048,,,,,,0.0001,
42,15.07,38,0.24,0.974048,,,,,,0.0001,
43,22.49,28,0.24,0.974048,,,,,,0.0001,
44,25.28,23,0.24,0.974048,,,,,,0.0001,
45,16.96,29,0.26,0.974063,0.405524,,5.735882,,,0.0001,
46,34.48,28,0.26,0.974063,,,,,,0.0001,
47,12.79,16,0.26,0.974063,,,,,,0.0001,
48,11.84,22,0.27,0.974063,,,,,,0.0001,
49,35.0,42,0.27,0.974063,,,,,,0.0001,
50,20.97,33,0.29,0.974072,-0.741587,,11.507786,,,0.0001,
51,21.11,21,0.34,0.974072,,,,,,0.0001,
52,6.09,14,0.34,0.974072,,,,,,0.0001,
53,9.66,39,0.35,0.974072,,,,,,0.0001,
54,10.92,21,0.35,0.974072,,,,,,0.0001,
55,24.78,26,0.37,0.974079,0.225935,,5.175939,,,0.0001,
56,31.3,37,0.37,0.974079,,,,,,0.0001,
57,6.13,22,0.37,0.974079,,,,,,0.0001,
58,8.53,18,0.38,0.974079,,,,,,0.0001,
59,26.24,26,0.38,0.974079,,,,,,0.0001,
60,30.51,27,0.39,0.974088,0.506831,,9.587811,,,0.0001,
61,8.7,17,0.4,0.974088,,,,,,0.0001,
62,8.16,16,0.4,0.974088,,,,,,0.0001,
63,28.24,33,0.4,0.974088,,,,,,0.0001,
64,37.96,30,0.41,0.974088,,,,,,0.0001,
65,8.77,15,0.42,0.974093,-1.282424,,10.377168,,,0.0001,
66,5.92,10,0.42,0.974093,,,,,,0.0001,
67,8.3,10,0.42,0.974093,,,,,,0.0001,
68,10.63,19,0.42,0.974093,,,,,,0.0001,
69,15.98,27,0.43,0.974093,,,,,,0.0001,
70,55.04,41,0.44,0.974091,-2.003732,,12.533493,,,0.0001,
71,5.91,9,0.44,0.974091,,,,,,0.0001,
72,7.8,17,0.44,0.974091,,,,,,0.0001,
73,28.17,33,0.45,0.974091,,,,,,0.0001,
74,37.99,42,0.45,0.974091,,,,,,0.0001,
75,24.14,22,0.46,0.974086,-1.329003,,11.020923,,,0.0001,
76,37.0,29,0.47,0.974086,,,,,,0.0001,
77,14.87,30,0.47,0.974086,,,,,,0.0001,
78,25.73,44,0.48,0.974086,,,,,,0.0001,
79,11.66,24,0.48,0.974086,,,,,,0.0001,
80,33.73,26,0.5,0.974081,0.073407,,10.725628,,,0.0001,
81,14.69,38,0.5,0.974081,,,,,,0.0001,
82,130.64,94,0.51,0.974081,,,,,,0.0001,
83,6.71,8,0.51,0.974081,,,,,,0.0001,
84,8.24,10,0.52,0.974081,,,,,,0.0001,
85,6.46,34,0.53,0.974078,2.178813,,25.306246,,,0.0001,
86,15.69,37,0.54,0.974078,,,,,,0.0001,
87,33.76,33,0.54,0.974078,,,,,,0.0001,
88,14.4,24,0.55,0.974078,,,,,,0.0001,
89,106.69,65,0.55,0.974078,,,,,,0.0001,
90,27.97,46,0.58,0.974072,-1.029952,,21.762009,,,0.0001,
91,47.8,36,0.58,0.974072,,,,,,0.0001,
92,43.77,34,0.59,0.974072,,,,,,0.0001,
93,9.37,20,0.59,0.974072,,,,,,0.0001,
94,15.76,34,0.59,0.974072,,,,,,0.0001,
95,18.48,25,0.61,0.974067,0.058351,,13.569704,,,0.0001,
96,152.05,89,0.62,0.974067,,,,,,0.0001,
97,21.0,22,0.62,0.974067,,,,,,0.0001,
98,27.14,24,0.63,0.974067,,,,,,0.0001,
99,21.58,41,0.63,0.974067,,,,,,0.0001,
100,22.41,25,0.65,0.97406,-1.442407,,32.687458,,,0.0001,
101,14.7,17,0.73,0.97406,,,,,,0.0001,
102,26.3,23,0.74,0.97406,,,,,,0.0001,
103,8.19,30,0.74,0.97406,,,,,,0.0001,
104,27.79,42,0.75,0.97406,,,,,,0.0001,
105,30.21,27,0.76,0.974055,0.100819,,9.469251,,,0.0001,
106,6.98,17,0.77,0.974055,,,,,,0.0001,
107,51.24,43,0.77,0.974055,,,,,,0.0001,
108,23.06,21,0.77,0.974055,,,,,,0.0001,
109,24.09,35,0.78,0.974055,,,,,,0.0001,
110,11.45,36,0.8,0.974055,1.61121,,11.03168,,,0.0001,
111,17.01,28,0.8,0.974055,,,,,,0.0001,
112,76.51,92,0.81,0.974055,,,,,,0.0001,
113,55.18,43,0.82,0.974055,,,,,,0.0001,
114,33.15,33,0.82,0.974055,,,,,,0.0001,
115,23.75,27,0.84,0.974049,-2.095824,,20.605364,,,0.0001,
116,16.95,34,0.85,0.974049,,,,,,0.0001,
117,31.07,27,0.85,0.974049,,,,,,0.0001,
118,28.43,26,0.85,0.974049,,,,,,0.0001,
119,13.42,30,0.86,0.974049,,,,,,0.0001,
120,111.37,70,0.88,0.974043,0.356515,,23.797194,,,0.0001,
121,20.26,20,0.88,0.974043,,,,,,0.0001,
122,19.8,31,0.89,0.974043,,,,,,0.0001,
123,84.49,57,0.89,0.974043,,,,,,0.0001,
124,11.59,20,0.9,0.974043,,,,,,0.0001,
125,22.32,35,0.91,0.974036,-1.334938,,17.631771,,,0.0001,
126,14.95,27,0.92,0.974036,,,,,,0.0001,
127,31.91,48,0.92,0.974036,,,,,,0.0001,
128,9.39,33,0.93,0.974036,,,,,,0.0001,
129,13.99,27,0.93,0.974036,,,,,,0.0001,
130,31.09,31,0.95,0.974021,-1.229835,,7.496197,,,0.0001,
131,30.37,53,0.96,0.974021,,,,,,0.0001,
132,7.16,9,0.96,0.974021,,,,,,0.0001,
133,10.54,26,0.96,0.974021,,,,,,0.0001,
134,7.58,9,0.96,0.974021,,,,,,0.0001,
135,5.83,9,0.97,0.97401,0.488688,,5.317491,,,0.0001,
136,18.51,18,0.97,0.97401,,,,,,0.0001,
137,32.96,31,0.98,0.97401,,,,,,0.0001,
138,13.64,18,0.98,0.97401,,,,,,0.0001,
139,22.69,27,0.98,0.97401,,,,,,0.0001,
140,13.13,15,0.99,0.973998,-0.474769,,10.623123,,,0.0001,
141,32.07,30,1.0,0.973998,,,,,,0.0001,
142,9.3,39,1.0,0.973998,,,,,,0.0001,
143,23.04,34,1.01,0.973998,,,,,,0.0001,
144,35.88,32,1.01,0.973998,,,,,,0.0001,
145,42.74,44,1.03,0.97398,-1.396723,,12.260047,,,0.0001,
146,16.17,40,1.04,0.97398,,,,,,0.0001,
147,36.76,42,1.04,0.97398,,,,,,0.0001,
148,125.88,78,1.05,0.97398,,,,,,0.0001,
149,31.74,27,1.06,0.97398,,,,,,0.0001,
150,23.41,24,1.08,0.973964,-0.299548,,26.686134,,,0.0001,
151,20.48,20,1.21,0.973964,,,,,,0.0001,
152,34.96,33,1.22,0.973964,,,,,,0.0001,
153,53.46,40,1.22,0.973964,,,,,,0.0001,
154,21.76,37,1.23,0.973964,,,,,,0.0001,
155,13.79,39,1.25,0.973945,-1.376699,,13.18889,,,0.0001,
156,74.81,55,1.26,0.973945,,,,,,0.0001,
157,31.4,42,1.26,0.973945,,,,,,0.0001,
158,38.43,45,1.27,0.973945,,,,,,0.0001,
159,160.58,82,1.28,0.973945,,,,,,0.0001,
160,36.8,43,1.3,0.973926,-1.106341,,37.316921,,,0.0001,
161,44.7,33,1.31,0.973926,,,,,,0.0001,
162,33.33,51,1.32,0.973926,,,,,,0.0001,
163,18.72,41,1.32,0.973926,,,,,,0.0001,
164,9.56,21,1.32,0.973926,,,,,,0.0001,
165,23.2,31,1.34,0.973905,-0.5857,,10.717443,,,0.0001,
166,24.91,38,1.35,0.973905,,,,,,0.0001,
167,165.5,113,1.36,0.973905,,,,,,0.0001,
168,102.63,61,1.37,0.973905,,,,,,0.0001,
169,53.4,55,1.38,0.973905,,,,,,0.0001,
170,10.65,39,1.41,0.973894,3.444418,,38.790794,,,0.0001,
171,39.07,30,1.41,0.973894,,,,,,0.0001,
172,18.88,42,1.41,0.973894,,,,,,0.0001,
173,62.84,46,1.42,0.973894,,,,,,0.0001,
174,26.58,31,1.43,0.973894,,,,,,0.0001,
175,33.41,35,1.44,0.973889,1.42097,,17.313366,,,0.0001,
176,41.11,30,1.45,0.973889,,,,,,0.0001,
177,124.59,76,1.46,0.973889,,,,,,0.0001,
178,128.98,73,1.47,0.973889,,,,,,0.0001,
179,13.68,42,1.47,0.973889,,,,,,0.0001,
180,33.66,26,1.5,0.973885,0.949811,,39.262913,,,0.0001,
181,23.35,23,1.5,0.973885,,,,,,0.0001,
182,16.08,35,1.5,0.973885,,,,,,0.0001,
183,21.63,19,1.51,0.973885,,,,,,0.0001,
184,39.11,35,1.51,0.973885,,,,,,0.0001,
185,59.99,96,1.54,0.973884,0.27277,,15.53771,,,0.0001,
186,37.45,37,1.54,0.973884,,,,,,0.0001,
187,40.45,46,1.55,0.973884,,,,,,0.0001,
188,7.4,22,1.55,0.973884,,,,,,0.0001,
189,23.08,33,1.56,0.973884,,,,,,0.0001,
190,28.2,32,1.57,0.973886,1.021477,,13.258821,,,0.0001,
191,46.83,77,1.59,0.973886,,,,,,0.0001,
192,12.91,13,1.59,0.973886,,,,,,0.0001,
193,18.96,49,1.59,0.973886,,,,,,0.0001,
194,19.73,27,1.6,0.973886,,,,,,0.0001,
195,37.78,42,1.62,0.973887,-0.468837,,12.46439,,,0.0001,
196,27.14,40,1.62,0.973887,,,,,,0.0001,
197,38.89,29,1.63,0.973887,,,,,,0.0001,
198,83.58,65,1.64,0.973887,,,,,,0.0001,
199,105.05,59,1.64,0.973887,,,,,,0.0001,
200,76.33,47,1.67,0.973885,-0.937992,,33.971233,,,0.0001,
201,23.84,53,1.76,0.973885,,,,,,0.0001,
202,47.95,36,1.77,0.973885,,,,,,0.0001,
203,24.56,28,1.77,0.973885,,,,,,0.0001,
204,23.39,21,1.77,0.973885,,,,,,0.0001,
205,78.0,99,1.8,0.973884,0.024902,,15.574229,,,0.0001,
206,85.59,95,1.82,0.973884,,,,,,0.0001,
207,33.16,31,1.82,0.973884,,,,,,0.0001,
208,15.31,15,1.82,0.973884,,,,,,0.0001,
209,47.01,44,1.83,0.973884,,,,,,0.0001,
210,21.04,22,1.85,0.973883,0.864929,,24.584206,,,0.0001,
211,175.41,93,1.86,0.973883,,,,,,0.0001,
212,160.48,102,1.87,0.973883,,,,,,0.0001,
213,33.72,32,1.88,0.973883,,,,,,0.0001,
214,43.02,34,1.88,0.973883,,,,,,0.0001,
215,173.44,139,1.93,0.973881,-1.4214,,56.882236,,,0.0001,
216,88.2,51,1.94,0.973881,,,,,,0.0001,
217,51.76,61,1.95,0.973881,,,,,,0.0001,
218,13.56,16,1.95,0.973881,,,,,,0.0001,
219,5.49,18,1.95,0.973881,,,,,,0.0001,
220,39.02,29,1.97,0.973877,-1.807959,,23.987125,,,0.0001,
221,12.66,18,1.97,0.973877,,,,,,0.0001,
222,25.03,26,1.97,0.973877,,,,,,0.0001,
223,165.74,120,1.99,0.973877,,,,,,0.0001,
224,24.89,21,1.99,0.973877,,,,,,0.0001,
225,51.3,39,2.01,0.973868,-3.274668,,41.124249,,,0.0001,
226,19.19,22,2.02,0.973868,,,,,,0.0001,
227,8.38,31,2.02,0.973868,,,,,,0.0001,
228,130.12,75,2.03,0.973868,,,,,,0.0001,
229,16.35,42,2.04,0.973868,,,,,,0.0001,
230,37.75,41,2.06,0.973855,-2.195753,,25.820566,,,0.0001,
231,48.54,54,2.07,0.973855,,,,,,0.0001,
232,68.36,62,2.08,0.973855,,,,,,0.0001,
233,46.61,37,2.08,0.973855,,,,,,0.0001,
234,65.12,48,2.09,0.973855,,,,,,0.0001,
235,33.7,37,2.11,0.973847,1.176898,,25.029154,,,0.0001,
236,125.5,69,2.12,0.973847,,,,,,0.0001,
237,28.03,30,2.12,0.973847,,,,,,0.0001,
238,25.73,26,2.13,0.973847,,,,,,0.0001,
239,31.1,53,2.13,0.973847,,,,,,0.0001,
240,159.87,99,2.17,0.973836,-3.189996,,43.27108,,,0.0001,
241,25.89,22,2.17,0.973836,,,,,,0.0001,
242,25.12,24,2.17,0.973836,,,,,,0.0001,
243,27.87,32,2.18,0.973836,,,,,,0.0001,
244,181.92,93,2.19,0.973836,,,,,,0.0001,
245,52.61,48,2.21,0.973826,0.083092,,42.477428,,,0.0001,
246,49.41,82,2.23,0.973826,,,,,,0.0001,
247,36.76,30,2.23,0.973826,,,,,,0.0001,
248,34.48,64,2.24,0.973826,,,,,,0.0001,
249,30.56,60,2.25,0.973826,,,,,,0.0001,
250,173.04,124,2.29,0.973819,0.591614,,33.813873,,,0.0001,
251,15.58,15,2.36,0.973819,,,,,,0.0001,
252,6.71,12,2.36,0.973819,,,,,,0.0001,
253,48.27,69,2.37,0.973819,,,,,,0.0001,
254,23.86,26,2.38,0.973819,,,,,,0.0001,
255,54.25,35,2.4,0.973808,-1.560308,,17.47723,,,0.0001,
256,131.5,81,2.41,0.973808,,,,,,0.0001,
257,155.81,154,2.43,0.973808,,,,,,0.0001,
258,25.73,24,2.43,0.973808,,,,,,0.0001,
259,192.26,115,2.45,0.973808,,,,,,0.0001,
260,51.72,49,2.49,0.973799,0.451018,,49.858387,,,0.0001,
261,130.98,90,2.5,0.973799,,,,,,0.0001,
262,135.06,79,2.51,0.973799,,,,,,0.0001,
263,91.99,52,2.52,0.973799,,,,,,0.0001,
264,154.18,93,2.53,0.973799,,,,,,0.0001,
265,83.88,52,2.58,0.973792,-0.014242,,55.003811,,,0.0001,
266,24.59,21,2.58,0.973792,,,,,,0.0001,
267,96.95,70,2.59,0.973792,,,,,,0.0001,
268,28.26,37,2.59,0.973792,,,,,,0.0001,
269,34.31,44,2.6,0.973792,,,,,,0.0001,
270,9.96,17,2.62,0.973788,1.294021,,24.945982,,,0.0001,
271,10.89,25,2.62,0.973788,,,,,,0.0001,
272,38.41,29,2.62,0.973788,,,,,,0.0001,
273,65.26,47,2.63,0.973788,,,,,,0.0001,
274,25.94,51,2.64,0.973788,,,,,,0.0001,
275,7.01,38,2.66,0.973779,-2.217426,,13.426347,,,0.0001,
276,63.21,82,2.67,0.973779,,,,,,0.0001,
277,139.07,96,2.73,0.973779,,,,,,0.0001,
278,87.24,58,2.78,0.973779,,,,,,0.0001,
279,91.24,101,2.84,0.973779,,,,,,0.0001,
280,56.73,37,2.88,0.973768,-0.821232,,37.229637,,,0.0001,
281,20.01,30,2.89,0.973768,,,,,,0.0001,
282,82.7,55,2.89,0.973768,,,,,,0.0001,
283,222.65,122,2.91,0.973768,,,,,,0.0001,
284,174.81,161,2.93,0.973768,,,,,,0.0001,
285,103.68,71,2.98,0.973763,3.982876,,59.172123,,,0.0001,
286,30.09,26,2.98,0.973763,,,,,,0.0001,
287,23.9,46,2.99,0.973763,,,,,,0.0001,
288,74.41,88,3.0,0.973763,,,,,,0.0001,
289,141.52,87,3.01,0.973763,,,,,,0.0001,
