episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,36.96,35,0.01,0.974077,,,,,,0.001,0.001
2,11.08,12,0.01,0.974077,,,,,,0.001,0.001
3,41.79,35,0.01,0.974077,,,,,,0.001,0.001
4,62.17,39,0.02,0.974077,,,,,,0.001,0.001
5,14.38,19,0.05,0.97387,81.105553,584.886047,,0.03215,,0.001,0.001
6,5.67,8,0.05,0.97387,,,,,,0.001,0.001
7,10.15,13,0.05,0.97387,,,,,,0.001,0.001
8,15.89,17,0.05,0.97387,,,,,,0.001,0.001
9,22.94,28,0.06,0.97387,,,,,,0.001,0.001
10,19.11,18,0.07,0.973706,31.07575,87.020348,,0.029832,,0.001,0.001
11,6.97,20,0.07,0.973706,,,,,,0.001,0.001
12,17.77,16,0.07,0.973706,,,,,,0.001,0.001
13,14.58,14,0.07,0.973706,,,,,,0.001,0.001
14,7.41,9,0.07,0.973706,,,,,,0.001,0.001
15,30.32,31,0.09,0.973414,31.443342,117.10968,,0.183232,,0.001,0.001
16,20.09,19,0.09,0.973414,,,,,,0.001,0.001
17,105.04,67,0.1,0.973414,,,,,,0.001,0.001
18,10.0,11,0.1,0.973414,,,,,,0.001,0.001
19,45.9,49,0.1,0.973414,,,,,,0.001,0.001
20,24.87,30,0.2,0.97342,116.523811,1194.224854,,0.277149,,0.001,0.001
21,15.23,14,0.2,0.97342,,,,,,0.001,0.001
22,20.93,17,0.21,0.97342,,,,,,0.001,0.001
23,49.06,38,0.21,0.97342,,,,,,0.001,0.001
24,20.37,32,0.21,0.97342,,,,,,0.001,0.001
25,42.62,47,0.23,0.973492,66.580177,358.187195,,0.395953,,0.001,0.001
26,18.98,17,0.23,0.973492,,,,,,0.001,0.001
27,30.83,35,0.24,0.973492,,,,,,0.001,0.001
28,40.93,46,0.24,0.973492,,,,,,0.001,0.001
29,70.65,48,0.25,0.973492,,,,,,0.001,0.001
30,60.31,40,0.27,0.973402,96.730995,794.309082,,0.569264,,0.001,0.001
31,123.69,73,0.28,0.973402,,,,,,0.001,0.001
32,70.97,43,0.29,0.973402,,,,,,0.001,0.001
33,28.26,22,0.29,0.973402,,,,,,0.001,0.001
34,143.73,94,0.3,0.973402,,,,,,0.001,0.001
35,50.47,33,0.33,0.973368,205.658203,3055.526855,,0.680531,,0.001,0.001
36,31.22,40,0.33,0.973368,,,,,,0.001,0.001
37,16.02,17,0.33,0.973368,,,,,,0.001,0.001
38,140.07,69,0.34,0.973368,,,,,,0.001,0.001
39,84.11,49,0.35,0.973368,,,,,,0.001,0.001
40,113.42,68,0.38,0.973313,178.868515,2735.480225,,0.734737,,0.001,0.001
41,42.12,32,0.38,0.973313,,,,,,0.001,0.001
42,14.45,28,0.38,0.973313,,,,,,0.001,0.001
43,97.99,53,0.39,0.973313,,,,,,0.001,0.001
44,102.93,56,0.4,0.973313,,,,,,0.001,0.001
45,122.55,64,0.42,0.973322,180.796097,2515.823486,,0.84693,,0.001,0.001
46,134.44,67,0.43,0.973322,,,,,,0.001,0.001
47,121.98,63,0.44,0.973322,,,,,,0.001,0.001
48,147.81,86,0.45,0.973322,,,,,,0.001,0.001
49,130.61,65,0.46,0.973322,,,,,,0.001,0.001
50,105.15,57,0.49,0.973264,248.651413,4317.002441,,0.892328,,0.001,0.001
51,144.42,75,0.57,0.973264,,,,,,0.001,0.001
52,92.12,50,0.57,0.973264,,,,,,0.001,0.001
53,134.84,69,0.58,0.973264,,,,,,0.001,0.001
54,114.52,59,0.59,0.973264,,,,,,0.001,0.001
55,18.96,34,0.62,0.973249,219.27594,3580.822266,,0.952192,,0.001,0.001
56,56.54,37,0.62,0.973249,,,,,,0.001,0.001
57,131.01,67,0.63,0.973249,,,,,,0.001,0.001
58,81.08,47,0.64,0.973249,,,,,,0.001,0.001
59,90.33,55,0.64,0.973249,,,,,,0.001,0.001
60,134.03,67,0.67,0.973153,200.415039,3103.762939,,1.190491,,0.001,0.001
61,16.08,35,0.68,0.973153,,,,,,0.001,0.001
62,99.83,55,0.68,0.973153,,,,,,0.001,0.001
63,63.64,41,0.69,0.973153,,,,,,0.001,0.001
64,169.01,96,0.7,0.973153,,,,,,0.001,0.001
65,109.5,57,0.73,0.973014,201.727356,3440.469971,,1.093886,,0.001,0.001
66,102.75,56,0.74,0.973014,,,,,,0.001,0.001
67,144.04,88,0.75,0.973014,,,,,,0.001,0.001
68,108.88,58,0.76,0.973014,,,,,,0.001,0.001
69,208.54,101,0.77,0.973014,,,,,,0.001,0.001
70,82.74,47,0.8,0.972892,261.868439,4973.549316,,1.320355,,0.001,0.001
71,61.95,44,0.81,0.972892,,,,,,0.001,0.001
72,185.05,90,0.82,0.972892,,,,,,0.001,0.001
73,119.75,63,0.83,0.972892,,,,,,0.001,0.001
74,89.0,51,0.83,0.972892,,,,,,0.001,0.001
75,80.1,46,0.86,0.972848,225.672882,3824.249268,,1.256542,,0.001,0.001
76,125.07,64,0.87,0.972848,,,,,,0.001,0.001
77,137.03,94,0.88,0.972848,,,,,,0.001,0.001
78,63.96,55,0.89,0.972848,,,,,,0.001,0.001
79,96.29,54,0.9,0.972848,,,,,,0.001,0.001
80,165.42,80,0.93,0.972809,230.963699,3827.750244,,1.479153,,0.001,0.001
81,154.81,77,0.94,0.972809,,,,,,0.001,0.001
82,77.44,44,0.95,0.972809,,,,,,0.001,0.001
83,35.43,32,0.95,0.972809,,,,,,0.001,0.001
84,159.17,76,0.96,0.972809,,,,,,0.001,0.001
85,78.81,46,0.99,0.972803,227.809555,3930.838135,,1.586427,,0.001,0.001
86,38.48,51,1.0,0.972803,,,,,,0.001,0.001
87,161.67,75,1.01,0.972803,,,,,,0.001,0.001
88,157.88,76,1.02,0.972803,,,,,,0.001,0.001
89,128.88,65,1.03,0.972803,,,,,,0.001,0.001
