episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,61.57,42,0.01,0.974077,,,,,,0.001,
2,3.64,10,0.01,0.974077,,,,,,0.001,
3,8.48,14,0.01,0.974077,,,,,,0.001,
4,12.98,16,0.01,0.974077,,,,,,0.001,
5,60.14,36,0.05,0.9747,1.84853,,21.398649,,,0.001,
6,6.96,10,0.05,0.9747,,,,,,0.001,
7,4.52,10,0.06,0.9747,,,,,,0.001,
8,3.6,8,0.06,0.9747,,,,,,0.001,
9,5.17,8,0.06,0.9747,,,,,,0.001,
10,3.97,8,0.06,0.974644,0.235814,,1.843921,,,0.001,
11,57.51,34,0.07,0.974644,,,,,,0.001,
12,57.8,40,0.07,0.974644,,,,,,0.001,
13,6.38,9,0.07,0.974644,,,,,,0.001,
14,5.03,9,0.08,0.974644,,,,,,0.001,
15,88.37,52,0.1,0.974606,-0.295786,,30.162188,,,0.001,
16,8.38,12,0.1,0.974606,,,,,,0.001,
17,41.66,32,0.1,0.974606,,,,,,0.001,
18,4.95,8,0.1,0.974606,,,,,,0.001,
19,115.71,69,0.11,0.974606,,,,,,0.001,
20,7.02,9,0.12,0.974494,-1.940052,,32.762726,,,0.001,
21,61.96,40,0.13,0.974494,,,,,,0.001,
22,70.14,57,0.14,0.974494,,,,,,0.001,
23,116.83,63,0.14,0.974494,,,,,,0.001,
24,6.39,11,0.15,0.974494,,,,,,0.001,
25,58.0,40,0.17,0.974383,0.068655,,36.770199,,,0.001,
26,8.11,12,0.17,0.974383,,,,,,0.001,
27,12.12,15,0.17,0.974383,,,,,,0.001,
28,62.5,45,0.18,0.974383,,,,,,0.001,
29,11.99,18,0.18,0.974383,,,,,,0.001,
30,8.79,14,0.19,0.974249,-1.318941,,15.563376,,,0.001,
31,58.29,56,0.2,0.974249,,,,,,0.001,
32,41.09,33,0.2,0.974249,,,,,,0.001,
33,95.13,55,0.21,0.974249,,,,,,0.001,
34,11.4,23,0.21,0.974249,,,,,,0.001,
35,7.07,13,0.23,0.974106,-0.526945,,26.422369,,,0.001,
36,5.69,10,0.23,0.974106,,,,,,0.001,
37,120.29,69,0.24,0.974106,,,,,,0.001,
38,58.43,40,0.24,0.974106,,,,,,0.001,
39,45.39,37,0.25,0.974106,,,,,,0.001,
40,64.22,47,0.27,0.974042,-0.208756,,34.293884,,,0.001,
41,135.16,72,0.28,0.974042,,,,,,0.001,
42,12.54,15,0.28,0.974042,,,,,,0.001,
43,7.51,11,0.28,0.974042,,,,,,0.001,
44,134.09,73,0.29,0.974042,,,,,,0.001,
45,138.89,75,0.32,0.973849,-5.871519,,55.005722,,,0.001,
46,29.56,27,0.33,0.973849,,,,,,0.001,
47,88.05,49,0.33,0.973849,,,,,,0.001,
48,127.69,67,0.34,0.973849,,,,,,0.001,
49,5.68,13,0.34,0.973849,,,,,,0.001,
50,13.7,20,0.36,0.97377,1.35191,,38.414181,,,0.001,
51,147.8,77,0.42,0.97377,,,,,,0.001,
52,165.57,88,0.43,0.97377,,,,,,0.001,
53,100.87,56,0.44,0.97377,,,,,,0.001,
54,69.52,45,0.44,0.97377,,,,,,0.001,
55,114.01,63,0.48,0.973718,-0.141543,,58.577316,,,0.001,
56,28.74,51,0.49,0.973718,,,,,,0.001,
57,7.61,12,0.49,0.973718,,,,,,0.001,
58,119.31,64,0.5,0.973718,,,,,,0.001,
59,164.66,90,0.51,0.973718,,,,,,0.001,
60,8.0,17,0.53,0.973667,-0.688228,,45.090427,,,0.001,
61,19.21,29,0.53,0.973667,,,,,,0.001,
62,116.27,63,0.54,0.973667,,,,,,0.001,
63,134.14,70,0.55,0.973667,,,,,,0.001,
64,119.66,69,0.56,0.973667,,,,,,0.001,
65,125.28,66,0.59,0.973593,-2.645586,,53.821175,,,0.001,
66,93.22,53,0.6,0.973593,,,,,,0.001,
67,97.97,56,0.61,0.973593,,,,,,0.001,
68,84.51,48,0.61,0.973593,,,,,,0.001,
69,102.68,57,0.62,0.973593,,,,,,0.001,
70,171.87,91,0.66,0.9735,-0.966612,,54.333454,,,0.001,
71,101.95,58,0.66,0.9735,,,,,,0.001,
72,80.02,47,0.67,0.9735,,,,,,0.001,
73,236.31,145,0.69,0.9735,,,,,,0.001,
74,148.51,84,0.7,0.9735,,,,,,0.001,
75,105.14,60,0.74,0.973364,-3.031633,,65.44883,,,0.001,
76,141.02,78,0.75,0.973364,,,,,,0.001,
77,168.81,91,0.76,0.973364,,,,,,0.001,
78,181.44,104,0.78,0.973364,,,,,,0.001,
79,128.2,67,0.79,0.973364,,,,,,0.001,
80,154.27,78,0.83,0.973238,0.044473,,68.948608,,,0.001,
81,78.25,46,0.84,0.973238,,,,,,0.001,
82,125.13,66,0.84,0.973238,,,,,,0.001,
83,71.14,42,0.85,0.973238,,,,,,0.001,
84,135.61,72,0.86,0.973238,,,,,,0.001,
85,192.17,100,0.9,0.97312,0.169347,,59.87875,,,0.001,
86,148.64,76,0.91,0.97312,,,,,,0.001,
87,155.31,78,0.92,0.97312,,,,,,0.001,
88,60.3,36,0.93,0.97312,,,,,,0.001,
89,210.74,113,0.94,0.97312,,,,,,0.001,
90,107.15,59,0.98,0.973019,-0.030014,,67.496094,,,0.001,
91,88.66,50,0.98,0.973019,,,,,,0.001,
92,186.42,95,1.0,0.973019,,,,,,0.001,
93,183.88,94,1.01,0.973019,,,,,,0.001,
94,33.5,29,1.01,0.973019,,,,,,0.001,
95,175.92,87,1.05,0.972846,-3.517831,,68.360382,,,0.001,
96,174.2,89,1.07,0.972846,,,,,,0.001,
97,55.08,33,1.07,0.972846,,,,,,0.001,
98,226.37,129,1.09,0.972846,,,,,,0.001,
99,207.15,113,1.1,0.972846,,,,,,0.001,
100,199.86,107,1.15,0.972717,1.721945,,77.795341,,,0.001,
101,117.6,81,1.25,0.972717,,,,,,0.001,
102,201.4,103,1.26,0.972717,,,,,,0.001,
103,43.57,35,1.27,0.972717,,,,,,0.001,
104,149.98,80,1.28,0.972717,,,,,,0.001,
105,18.04,27,1.31,0.972687,4.558626,,57.670681,,,0.001,
106,12.04,16,1.31,0.972687,,,,,,0.001,
107,175.37,96,1.32,0.972687,,,,,,0.001,
108,205.8,107,1.34,0.972687,,,,,,0.001,
109,222.39,120,1.36,0.972687,,,,,,0.001,
110,179.75,95,1.4,0.972678,1.462461,,77.226311,,,0.001,
111,196.15,103,1.42,0.972678,,,,,,0.001,
112,34.08,30,1.42,0.972678,,,,,,0.001,
113,98.26,67,1.43,0.972678,,,,,,0.001,
114,39.49,34,1.44,0.972678,,,,,,0.001,
115,187.74,97,1.48,0.972693,0.547911,,60.901188,,,0.001,
116,179.85,96,1.49,0.972693,,,,,,0.001,
117,245.1,139,1.51,0.972693,,,,,,0.001,
118,35.21,37,1.51,0.972693,,,,,,0.001,
119,50.21,44,1.52,0.972693,,,,,,0.001,
120,180.82,92,1.57,0.972706,-0.381911,,69.921646,,,0.001,
121,188.89,94,1.58,0.972706,,,,,,0.001,
122,169.54,86,1.59,0.972706,,,,,,0.001,
123,210.46,111,1.6,0.972706,,,,,,0.001,
124,212.68,112,1.62,0.972706,,,,,,0.001,
125,145.96,75,1.67,0.972693,-1.136543,,79.138016,,,0.001,
126,159.07,96,1.68,0.972693,,,,,,0.001,
127,102.17,57,1.69,0.972693,,,,,,0.001,
128,15.41,17,1.69,0.972693,,,,,,0.001,
129,124.32,65,1.7,0.972693,,,,,,0.001,
130,136.8,73,1.73,0.972677,-0.760047,,59.804268,,,0.001,
131,24.07,23,1.74,0.972677,,,,,,0.001,
132,197.32,102,1.75,0.972677,,,,,,0.001,
133,159.85,88,1.76,0.972677,,,,,,0.001,
134,176.8,95,1.78,0.972677,,,,,,0.001,
135,195.31,101,1.83,0.972651,-0.850968,,72.798325,,,0.001,
136,152.22,79,1.84,0.972651,,,,,,0.001,
137,167.14,89,1.85,0.972651,,,,,,0.001,
138,192.06,109,1.86,0.972651,,,,,,0.001,
139,26.8,25,1.87,0.972651,,,,,,0.001,
140,183.99,92,1.91,0.972548,-3.655806,,70.031731,,,0.001,
141,191.57,100,1.93,0.972548,,,,,,0.001,
142,160.59,87,1.94,0.972548,,,,,,0.001,
143,220.16,119,1.96,0.972548,,,,,,0.001,
144,161.94,82,1.97,0.972548,,,,,,0.001,
145,137.85,71,2.02,0.972459,-0.790031,,75.869423,,,0.001,
146,206.75,110,2.03,0.972459,,,,,,0.001,
147,199.36,108,2.05,0.972459,,,,,,0.001,
148,194.9,101,2.06,0.972459,,,,,,0.001,
149,234.19,124,2.08,0.972459,,,,,,0.001,
150,150.5,82,2.13,0.972364,-0.611999,,80.536751,,,0.001,
151,200.13,103,2.23,0.972364,,,,,,0.001,
152,179.87,94,2.24,0.972364,,,,,,0.001,
153,142.55,78,2.25,0.972364,,,,,,0.001,
154,202.94,106,2.27,0.972364,,,,,,0.001,
155,133.88,72,2.31,0.972328,2.203228,,73.697342,,,0.001,
156,193.07,98,2.33,0.972328,,,,,,0.001,
157,49.47,38,2.33,0.972328,,,,,,0.001,
158,182.74,97,2.34,0.972328,,,,,,0.001,
159,220.32,127,2.36,0.972328,,,,,,0.001,
160,168.7,89,2.41,0.972304,0.165724,,73.249794,,,0.001,
161,234.67,142,2.43,0.972304,,,,,,0.001,
162,164.28,90,2.44,0.972304,,,,,,0.001,
163,223.93,113,2.45,0.972304,,,,,,0.001,
164,215.89,119,2.47,0.972304,,,,,,0.001,
165,237.79,127,2.53,0.97225,-1.201595,,83.370094,,,0.001,
166,138.3,94,2.55,0.97225,,,,,,0.001,
167,188.54,105,2.56,0.97225,,,,,,0.001,
168,219.47,122,2.58,0.97225,,,,,,0.001,
169,170.63,86,2.59,0.97225,,,,,,0.001,
170,73.59,51,2.63,0.972211,-0.187169,,68.397247,,,0.001,
171,23.11,21,2.63,0.972211,,,,,,0.001,
172,39.95,31,2.64,0.972211,,,,,,0.001,
173,208.69,109,2.65,0.972211,,,,,,0.001,
174,240.76,126,2.67,0.972211,,,,,,0.001,
175,83.74,67,2.71,0.97216,-0.990885,,68.152916,,,0.001,
176,176.7,88,2.72,0.97216,,,,,,0.001,
177,127.84,69,2.73,0.97216,,,,,,0.001,
178,253.76,139,2.75,0.97216,,,,,,0.001,
179,230.77,117,2.77,0.97216,,,,,,0.001,
180,170.15,86,2.82,0.972105,-1.057887,,81.514381,,,0.001,
181,185.09,102,2.83,0.972105,,,,,,0.001,
182,212.14,110,2.85,0.972105,,,,,,0.001,
183,212.41,107,2.86,0.972105,,,,,,0.001,
184,223.77,136,2.88,0.972105,,,,,,0.001,
185,163.15,85,2.93,0.972004,-2.151561,,79.887581,,,0.001,
186,155.73,80,2.94,0.972004,,,,,,0.001,
187,20.21,20,2.95,0.972004,,,,,,0.001,
188,219.77,118,2.96,0.972004,,,,,,0.001,
189,192.76,103,2.98,0.972004,,,,,,0.001,
190,208.73,109,3.02,0.971887,-2.198945,,76.743217,,,0.001,
191,31.46,25,3.03,0.971887,,,,,,0.001,
192,239.91,148,3.05,0.971887,,,,,,0.001,
193,179.42,103,3.06,0.971887,,,,,,0.001,
194,42.97,32,3.06,0.971887,,,,,,0.001,
195,236.75,114,3.11,0.971772,-0.60651,,74.350052,,,0.001,
196,197.67,104,3.13,0.971772,,,,,,0.001,
197,163.9,117,3.14,0.971772,,,,,,0.001,
198,274.39,124,3.16,0.971772,,,,,,0.001,
199,188.22,98,3.17,0.971772,,,,,,0.001,
200,236.22,139,3.24,0.971611,-3.197888,,82.022621,,,0.001,
201,205.33,112,3.35,0.971611,,,,,,0.001,
202,176.47,100,3.36,0.971611,,,,,,0.001,
203,65.78,45,3.37,0.971611,,,,,,0.001,
204,215.42,103,3.38,0.971611,,,,,,0.001,
205,203.23,107,3.44,0.971433,-2.515577,,75.962929,,,0.001,
206,21.68,20,3.44,0.971433,,,,,,0.001,
207,270.42,153,3.46,0.971433,,,,,,0.001,
208,254.03,120,3.47,0.971433,,,,,,0.001,
209,112.08,64,3.48,0.971433,,,,,,0.001,
210,49.06,36,3.52,0.97126,-1.229135,,78.100777,,,0.001,
211,257.07,153,3.54,0.97126,,,,,,0.001,
212,291.28,144,3.56,0.97126,,,,,,0.001,
213,29.16,26,3.56,0.97126,,,,,,0.001,
214,40.17,30,3.57,0.97126,,,,,,0.001,
215,293.95,158,3.63,0.971099,0.109723,,89.766953,,,0.001,
216,73.62,49,3.64,0.971099,,,,,,0.001,
217,210.86,129,3.65,0.971099,,,,,,0.001,
218,183.19,98,3.67,0.971099,,,,,,0.001,
219,55.79,37,3.67,0.971099,,,,,,0.001,
220,51.96,36,3.7,0.970975,0.905079,,59.267159,,,0.001,
221,42.84,30,3.71,0.970975,,,,,,0.001,
222,221.09,129,3.72,0.970975,,,,,,0.001,
223,196.51,109,3.74,0.970975,,,,,,0.001,
224,57.02,40,3.74,0.970975,,,,,,0.001,
225,34.67,27,3.77,0.970881,0.396388,,62.69207,,,0.001,
226,152.17,86,3.78,0.970881,,,,,,0.001,
227,157.77,81,3.79,0.970881,,,,,,0.001,
228,126.09,67,3.8,0.970881,,,,,,0.001,
229,106.55,60,3.81,0.970881,,,,,,0.001,
230,79.91,53,3.84,0.970842,2.478184,,57.290638,,,0.001,
231,210.24,135,3.86,0.970842,,,,,,0.001,
232,72.26,50,3.87,0.970842,,,,,,0.001,
233,58.53,39,3.87,0.970842,,,,,,0.001,
234,280.67,150,3.89,0.970842,,,,,,0.001,
235,54.69,37,3.93,0.970722,-4.637573,,69.193771,,,0.001,
236,136.41,72,3.94,0.970722,,,,,,0.001,
237,41.16,29,3.94,0.970722,,,,,,0.001,
238,108.69,64,3.95,0.970722,,,,,,0.001,
239,183.45,110,3.97,0.970722,,,,,,0.001,
240,191.82,107,4.01,0.970588,-2.171115,,63.934872,,,0.001,
241,126.89,68,4.02,0.970588,,,,,,0.001,
242,220.16,118,4.03,0.970588,,,,,,0.001,
243,128.21,70,4.04,0.970588,,,,,,0.001,
244,162.42,92,4.06,0.970588,,,,,,0.001,
245,121.58,70,4.1,0.970498,2.402043,,66.476295,,,0.001,
246,334.84,228,4.13,0.970498,,,,,,0.001,
247,224.32,109,4.14,0.970498,,,,,,0.001,
248,159.4,97,4.15,0.970498,,,,,,0.001,
249,161.36,90,4.17,0.970498,,,,,,0.001,
250,146.64,80,4.23,0.970487,2.54949,,79.361984,,,0.001,
251,167.26,93,4.31,0.970487,,,,,,0.001,
252,142.48,89,4.33,0.970487,,,,,,0.001,
253,162.55,88,4.34,0.970487,,,,,,0.001,
254,126.33,71,4.35,0.970487,,,,,,0.001,
255,179.45,104,4.4,0.97059,5.618273,,64.519737,,,0.001,
256,135.04,79,4.41,0.97059,,,,,,0.001,
257,277.32,140,4.43,0.97059,,,,,,0.001,
258,133.36,83,4.44,0.97059,,,,,,0.001,
259,100.83,58,4.45,0.97059,,,,,,0.001,
260,242.28,120,4.5,0.970655,-2.060452,,78.494713,,,0.001,
261,340.71,185,4.53,0.970655,,,,,,0.001,
262,309.07,151,4.55,0.970655,,,,,,0.001,
263,195.71,106,4.56,0.970655,,,,,,0.001,
264,133.67,81,4.57,0.970655,,,,,,0.001,
265,256.34,150,4.65,0.970691,-1.222316,,92.621063,,,0.001,
266,296.44,141,4.67,0.970691,,,,,,0.001,
267,212.96,120,4.69,0.970691,,,,,,0.001,
