step,phi_L,phi_H,perf,bound_updated
407593,0.900,1.200,0.70,H
419032,0.900,1.300,0.70,H
445981,0.900,1.400,0.74,H
447041,0.800,1.400,0.74,L
469486,0.700,1.400,0.70,L
469734,0.700,1.500,0.74,H
488634,0.600,1.500,0.82,L
492799,0.500,1.500,0.70,L
496824,0.500,1.600,0.76,H
497012,0.400,1.600,0.78,L
