episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,61.57,42,0.02,0.974056,125.845856,,,,,0.0001,
2,3.65,10,0.02,0.974062,2.660339,,,,,0.0001,
3,8.33,14,0.03,0.974061,9.78232,,,,,0.0001,
4,14.06,17,0.03,0.974061,30.093245,,,,,0.0001,
5,25.88,26,0.04,0.974063,48.502628,,,,,0.0001,
6,39.4,32,0.04,0.97406,80.873253,,,,,0.0001,
7,5.26,9,0.05,0.974061,8.235094,,,,,0.0001,
8,4.17,9,0.05,0.974048,3.758544,,,,,0.0001,
9,49.16,32,0.06,0.974036,102.852722,,,,,0.0001,
10,45.3,33,0.06,0.974027,96.20562,,,,,0.0001,
11,5.99,9,0.06,0.974024,11.491405,,,,,0.0001,
12,34.48,29,0.07,0.974024,66.595474,,,,,0.0001,
13,9.36,13,0.07,0.974027,17.692663,,,,,0.0001,
14,47.33,32,0.08,0.974023,89.761658,,,,,0.0001,
15,5.36,8,0.08,0.974024,11.746842,,,,,0.0001,
16,33.59,34,0.09,0.974025,66.133484,,,,,0.0001,
17,4.82,8,0.09,0.974032,11.846384,,,,,0.0001,
18,5.17,8,0.09,0.974045,10.888939,,,,,0.0001,
19,25.37,22,0.1,0.974063,58.956154,,,,,0.0001,
20,4.94,12,0.1,0.974082,5.385349,,,,,0.0001,
21,4.67,11,0.1,0.9741,4.975436,,,,,0.0001,
22,6.92,12,0.1,0.974111,8.150659,,,,,0.0001,
23,6.11,9,0.11,0.974124,11.390891,,,,,0.0001,
24,6.55,10,0.11,0.974132,10.61707,,,,,0.0001,
25,49.36,34,0.12,0.974147,112.237701,,,,,0.0001,
26,7.77,12,0.12,0.974158,13.23714,,,,,0.0001,
27,20.18,27,0.12,0.974166,39.640965,,,,,0.0001,
28,6.92,13,0.13,0.974171,9.084907,,,,,0.0001,
29,7.42,10,0.13,0.974174,14.159917,,,,,0.0001,
30,10.82,17,0.13,0.974176,17.194687,,,,,0.0001,
31,47.76,33,0.14,0.974177,101.857178,,,,,0.0001,
32,7.59,15,0.14,0.974172,6.508654,,,,,0.0001,
33,60.37,41,0.15,0.974171,129.733139,,,,,0.0001,
34,15.65,18,0.15,0.974172,29.19655,,,,,0.0001,
35,6.4,10,0.16,0.974172,9.747565,,,,,0.0001,
36,16.16,16,0.16,0.974172,35.154064,,,,,0.0001,
37,5.79,11,0.16,0.974166,6.49353,,,,,0.0001,
38,10.55,18,0.17,0.974171,19.574162,,,,,0.0001,
39,13.08,19,0.17,0.974179,26.482233,,,,,0.0001,
40,8.31,13,0.17,0.974187,14.887755,,,,,0.0001,
41,13.46,25,0.18,0.974204,23.024376,,,,,0.0001,
42,40.26,29,0.18,0.974217,79.099442,,,,,0.0001,
43,9.41,12,0.19,0.974222,15.965093,,,,,0.0001,
44,5.79,9,0.19,0.974229,12.575235,,,,,0.0001,
45,6.35,10,0.19,0.974228,8.154626,,,,,0.0001,
46,6.27,10,0.19,0.974217,8.819426,,,,,0.0001,
