step,phi_L,phi_H,perf,bound_updated
175952,0.800,1.100,0.72,L
185236,0.700,1.100,0.78,L
186364,0.700,1.200,0.76,H
192988,0.600,1.200,0.84,L
194398,0.600,1.300,0.72,H
197594,0.600,1.400,0.70,H
198051,0.500,1.400,0.80,L
200796,0.400,1.400,0.92,L
200967,0.400,1.500,0.78,H
204066,0.300,1.500,0.74,L
204576,0.300,1.600,0.84,H
206856,0.200,1.600,0.90,L
207455,0.200,1.700,0.92,H
210179,0.100,1.700,0.84,L
210945,0.100,1.800,0.80,H
214207,0.100,1.900,0.86,H
217407,0.100,2.000,0.86,H
220360,0.100,2.100,0.84,H
224648,0.100,2.200,0.80,H
227482,0.100,2.300,0.86,H
230575,0.100,2.400,0.88,H
233674,0.100,2.500,0.94,H
236233,0.100,2.600,0.90,H
239633,0.100,2.700,0.90,H
242508,0.100,2.800,0.90,H
245555,0.100,2.900,0.86,H
247998,0.100,3.000,0.80,H
251019,0.100,3.100,0.94,H
253232,0.100,3.200,0.92,H
256016,0.100,3.300,0.96,H
258290,0.100,3.400,0.88,H
260606,0.100,3.500,0.84,H
263780,0.100,3.600,0.88,H
266169,0.100,3.700,0.86,H
268484,0.100,3.800,0.90,H
270081,0.100,3.900,0.92,H
272570,0.100,4.000,0.90,H
275445,0.100,4.100,0.98,H
277844,0.100,4.200,0.94,H
279975,0.100,4.300,0.94,H
282601,0.100,4.400,0.92,H
285454,0.100,4.500,0.86,H
287673,0.100,4.600,1.00,H
290151,0.100,4.700,0.94,H
292845,0.100,4.800,0.98,H
295028,0.100,4.900,0.92,H
297440,0.100,5.000,0.94,H
299313,0.100,5.100,0.88,H
302017,0.100,5.200,0.88,H
304632,0.100,5.300,0.90,H
306794,0.100,5.400,0.90,H
309699,0.100,5.500,0.94,H
311467,0.100,5.600,0.98,H
313800,0.100,5.700,0.90,H
316061,0.100,5.800,0.96,H
317867,0.100,5.900,0.98,H
320003,0.100,6.000,0.94,H
322149,0.100,6.100,1.00,H
323968,0.100,6.200,0.98,H
325952,0.100,6.300,1.00,H
328514,0.100,6.400,1.00,H
330535,0.100,6.500,0.92,H
332667,0.100,6.600,0.96,H
335059,0.100,6.700,0.92,H
337549,0.100,6.800,0.98,H
339279,0.100,6.900,1.00,H
341254,0.100,7.000,0.98,H
343194,0.100,7.100,0.96,H
345532,0.100,7.200,0.98,H
347253,0.100,7.300,0.96,H
349366,0.100,7.400,0.96,H
351748,0.100,7.500,0.98,H
353311,0.100,7.600,1.00,H
355733,0.100,7.700,0.98,H
357889,0.100,7.800,0.98,H
359615,0.100,7.900,0.98,H
361328,0.100,8.000,0.98,H
363156,0.100,8.100,1.00,H
364809,0.100,8.200,1.00,H
366480,0.100,8.300,0.96,H
368079,0.100,8.400,1.00,H
369760,0.100,8.500,0.94,H
371829,0.100,8.600,0.96,H
373934,0.100,8.700,0.98,H
375757,0.100,8.800,0.96,H
377687,0.100,8.900,0.98,H
379607,0.100,9.000,0.98,H
381147,0.100,9.100,1.00,H
382665,0.100,9.200,0.96,H
384636,0.100,9.300,0.98,H
386826,0.100,9.400,0.90,H
388396,0.100,9.500,1.00,H
390250,0.100,9.600,1.00,H
392359,0.100,9.700,0.98,H
393831,0.100,9.800,1.00,H
396028,0.100,9.900,0.96,H
398137,0.100,10.000,0.98,H
400031,0.100,10.100,0.96,H
401845,0.100,10.200,1.00,H
403268,0.100,10.300,1.00,H
405154,0.100,10.400,0.96,H
407348,0.100,10.500,1.00,H
408690,0.100,10.600,1.00,H
410605,0.100,10.700,1.00,H
412169,0.100,10.800,1.00,H
414852,0.100,10.900,0.98,H
416779,0.100,11.000,0.98,H
418902,0.100,11.100,1.00,H
420987,0.100,11.200,0.98,H
422913,0.100,11.300,0.98,H
424673,0.100,11.400,0.98,H
426363,0.100,11.500,0.96,H
428336,0.100,11.600,0.98,H
430163,0.100,11.700,0.98,H
431970,0.100,11.800,0.98,H
433677,0.100,11.900,0.98,H
435424,0.100,12.000,0.98,H
437118,0.100,12.100,0.98,H
438939,0.100,12.200,1.00,H
440429,0.100,12.300,1.00,H
442419,0.100,12.400,0.98,H
444401,0.100,12.500,1.00,H
445731,0.100,12.600,0.98,H
447388,0.100,12.700,1.00,H
448991,0.100,12.800,1.00,H
450835,0.100,12.900,0.98,H
452401,0.100,13.000,0.96,H
454197,0.100,13.100,1.00,H
455585,0.100,13.200,1.00,H
457561,0.100,13.300,1.00,H
459151,0.100,13.400,1.00,H
460788,0.100,13.500,0.98,H
462376,0.100,13.600,1.00,H
463882,0.100,13.700,1.00,H
465670,0.100,13.800,0.98,H
466845,0.100,13.900,1.00,H
468453,0.100,14.000,1.00,H
470491,0.100,14.100,1.00,H
472457,0.100,14.200,0.96,H
473968,0.100,14.300,1.00,H
476307,0.100,14.400,0.94,H
478401,0.100,14.500,0.98,H
480612,0.100,14.600,0.98,H
482195,0.100,14.700,0.98,H
484236,0.100,14.800,0.98,H
486477,0.100,14.900,0.94,H
488794,0.100,15.000,0.94,H
