episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,13.36,17,0.03,0.97387,-60.842365,,20.0,,,0.001,
2,31.9,24,0.03,0.973531,-17.667931,,20.0,,,0.001,
3,58.22,42,0.04,0.973171,29.569935,,20.0,,,0.001,
4,77.95,46,0.05,0.973132,80.427147,,20.0,,,0.001,
5,16.0,15,0.05,0.973041,-48.778942,,20.0,,,0.001,
6,88.78,49,0.07,0.973064,105.873688,,20.0,,,0.001,
7,53.0,32,0.07,0.973058,33.349476,,20.0,,,0.001,
8,195.2,86,0.09,0.972937,263.172913,,20.0,,,0.001,
9,176.94,81,0.11,0.972706,229.183731,,20.0,,,0.001,
10,58.72,34,0.12,0.972509,43.209579,,20.0,,,0.001,
11,76.29,44,0.13,0.972274,61.79443,,20.0,,,0.001,
12,142.43,70,0.14,0.972092,199.967178,,20.0,,,0.001,
13,94.95,56,0.15,0.971931,94.876839,,20.0,,,0.001,
14,116.45,66,0.16,0.971777,127.248283,,20.0,,,0.001,
15,59.59,36,0.17,0.971598,43.972912,,20.0,,,0.001,
16,72.92,42,0.18,0.971434,76.952217,,20.0,,,0.001,
17,180.42,87,0.2,0.971317,247.309464,,20.0,,,0.001,
18,116.38,63,0.21,0.971163,131.622864,,20.0,,,0.001,
19,52.66,32,0.22,0.970987,32.688454,,20.0,,,0.001,
20,148.55,74,0.23,0.970792,188.00528,,20.0,,,0.001,
21,68.71,41,0.24,0.970694,70.939262,,20.0,,,0.001,
22,52.14,32,0.25,0.970515,26.821838,,20.0,,,0.001,
23,148.91,74,0.27,0.970342,195.691299,,20.0,,,0.001,
24,172.31,80,0.28,0.970284,262.342896,,20.0,,,0.001,
25,81.06,50,0.29,0.970303,97.640999,,20.0,,,0.001,
26,141.34,72,0.31,0.970321,186.211838,,20.0,,,0.001,
27,80.99,47,0.32,0.970381,88.702858,,20.0,,,0.001,
28,52.4,32,0.32,0.970434,31.872574,,20.0,,,0.001,
29,71.14,43,0.33,0.970462,61.944763,,20.0,,,0.001,
30,118.75,61,0.34,0.97045,149.086395,,20.0,,,0.001,
31,216.35,97,0.37,0.970445,311.433502,,20.0,,,0.001,
32,40.0,35,0.37,0.970506,3.759187,,20.0,,,0.001,
33,146.66,71,0.39,0.970494,193.524017,,20.0,,,0.001,
34,113.14,61,0.4,0.970413,131.285217,,20.0,,,0.001,
35,151.94,86,0.42,0.970368,204.686279,,20.0,,,0.001,
36,43.78,40,0.43,0.970326,-0.734484,,20.0,,,0.001,
37,157.22,79,0.44,0.970259,210.554733,,20.0,,,0.001,
38,131.84,68,0.46,0.970223,181.637985,,20.0,,,0.001,
39,188.66,86,0.48,0.970175,269.620605,,20.0,,,0.001,
40,108.34,71,0.49,0.970118,106.158638,,20.0,,,0.001,
41,189.63,118,0.52,0.970079,222.718338,,20.0,,,0.001,
42,223.52,98,0.54,0.970076,334.22287,,20.0,,,0.001,
43,227.76,106,0.56,0.970155,332.921112,,20.0,,,0.001,
44,134.3,70,0.57,0.970175,163.566299,,20.0,,,0.001,
45,100.54,55,0.59,0.970183,121.922356,,20.0,,,0.001,
46,137.13,68,0.6,0.970199,192.423126,,20.0,,,0.001,
47,170.3,90,0.62,0.970212,215.641953,,20.0,,,0.001,
48,144.02,73,0.63,0.970244,202.028336,,20.0,,,0.001,
49,119.61,63,0.65,0.970293,162.485184,,20.0,,,0.001,
50,185.25,88,0.66,0.970321,264.826599,,20.0,,,0.001,
51,186.31,90,0.76,0.970365,261.89682,,20.0,,,0.001,
52,169.61,85,0.78,0.97034,217.89325,,20.0,,,0.001,
53,244.2,134,0.81,0.970301,294.942871,,20.0,,,0.001,
54,169.65,90,0.83,0.970307,238.600952,,20.0,,,0.001,
55,204.18,100,0.85,0.97026,255.92836,,20.0,,,0.001,
56,248.48,124,0.87,0.970253,352.043945,,20.0,,,0.001,
57,91.66,80,0.89,0.970279,91.796295,,20.0,,,0.001,
58,228.76,107,0.91,0.97025,310.228455,,20.0,,,0.001,
59,233.96,111,0.94,0.970238,312.783417,,20.0,,,0.001,
60,34.87,41,0.94,0.970205,-18.53591,,20.0,,,0.001,
61,228.56,113,0.97,0.970205,312.370819,,20.0,,,0.001,
62,232.73,110,0.99,0.970225,322.030121,,20.0,,,0.001,
63,199.3,110,1.01,0.970235,253.751282,,20.0,,,0.001,
64,216.64,102,1.03,0.970233,293.577881,,20.0,,,0.001,
65,184.55,99,1.05,0.970158,229.831146,,20.0,,,0.001,
66,191.81,97,1.07,0.970086,257.813721,,20.0,,,0.001,
67,42.58,38,1.08,0.970007,4.882837,,20.0,,,0.001,
68,129.1,73,1.1,0.969887,168.429855,,20.0,,,0.001,
69,64.63,57,1.11,0.969805,43.222252,,20.0,,,0.001,
70,194.31,95,1.13,0.96967,251.096252,,20.0,,,0.001,
71,210.92,105,1.15,0.969581,290.259003,,20.0,,,0.001,
72,232.61,120,1.18,0.969474,278.153656,,20.0,,,0.001,
73,219.47,99,1.2,0.96934,294.413483,,20.0,,,0.001,
74,68.14,50,1.21,0.969123,46.858925,,20.0,,,0.001,
75,232.48,113,1.23,0.968955,311.552551,,20.0,,,0.001,
76,28.26,31,1.24,0.968808,-31.202105,,20.0,,,0.001,
77,163.24,84,1.26,0.968742,229.929077,,20.0,,,0.001,
78,237.41,114,1.28,0.968661,315.834229,,20.0,,,0.001,
79,219.42,96,1.3,0.968596,312.3302,,20.0,,,0.001,
80,222.11,101,1.32,0.968527,304.287476,,20.0,,,0.001,
81,228.62,120,1.35,0.968487,312.813934,,20.0,,,0.001,
82,238.54,129,1.37,0.968461,283.953705,,20.0,,,0.001,
83,139.16,72,1.39,0.968321,171.078751,,20.0,,,0.001,
84,25.78,22,1.39,0.968156,-34.081528,,20.0,,,0.001,
85,237.01,116,1.42,0.96806,315.75238,,20.0,,,0.001,
86,236.23,108,1.44,0.96796,310.499939,,20.0,,,0.001,
87,238.57,121,1.47,0.967829,287.836578,,20.0,,,0.001,
88,242.94,122,1.49,0.967654,289.03833,,20.0,,,0.001,
89,252.43,125,1.52,0.967515,327.111298,,20.0,,,0.001,
90,228.9,112,1.54,0.967398,295.599945,,20.0,,,0.001,
91,230.33,113,1.57,0.967344,303.436127,,20.0,,,0.001,
92,258.43,132,1.59,0.967302,323.770233,,20.0,,,0.001,
93,242.8,118,1.62,0.967249,333.137421,,20.0,,,0.001,
94,259.3,132,1.64,0.967179,309.645996,,20.0,,,0.001,
95,256.64,125,1.67,0.967144,354.888428,,20.0,,,0.001,
96,190.66,101,1.69,0.967113,240.742416,,20.0,,,0.001,
97,271.48,142,1.72,0.967101,325.725128,,20.0,,,0.001,
98,156.92,83,1.74,0.96712,210.924606,,20.0,,,0.001,
99,192.49,94,1.76,0.967154,267.079926,,20.0,,,0.001,
100,253.17,131,1.79,0.967119,320.036743,,20.0,,,0.001,
101,169.81,82,1.89,0.967066,227.424713,,20.0,,,0.001,
102,141.9,70,1.9,0.96701,195.287216,,20.0,,,0.001,
103,147.07,76,1.92,0.966999,205.171783,,20.0,,,0.001,
104,206.8,105,1.94,0.966948,267.788452,,20.0,,,0.001,
105,140.33,77,1.95,0.966844,175.987045,,20.0,,,0.001,
106,175.74,106,1.98,0.966798,219.302567,,20.0,,,0.001,
107,122.74,67,1.99,0.966723,149.536118,,20.0,,,0.001,
108,249.7,124,2.02,0.966679,327.562897,,20.0,,,0.001,
109,190.9,105,2.04,0.966572,221.647659,,20.0,,,0.001,
110,173.06,91,2.06,0.966524,251.250259,,20.0,,,0.001,
111,210.47,115,2.08,0.966469,247.111832,,20.0,,,0.001,
112,240.14,132,2.11,0.96641,292.239075,,20.0,,,0.001,
113,335.24,204,2.15,0.96637,357.495636,,20.0,,,0.001,
114,204.21,103,2.17,0.966303,258.997162,,20.0,,,0.001,
115,176.05,107,2.19,0.966225,185.929901,,20.0,,,0.001,
116,169.42,99,2.21,0.966125,193.305649,,20.0,,,0.001,
117,293.39,165,2.25,0.965993,327.098206,,20.0,,,0.001,
118,334.56,210,2.29,0.966011,363.144043,,20.0,,,0.001,
119,185.21,115,2.32,0.96602,219.605469,,20.0,,,0.001,
120,271.71,149,2.35,0.965983,302.29718,,20.0,,,0.001,
121,315.46,189,2.39,0.965952,329.815857,,20.0,,,0.001,
122,258.81,140,2.42,0.965966,336.785858,,20.0,,,0.001,
123,282.41,158,2.46,0.965993,322.027405,,20.0,,,0.001,
124,308.59,169,2.5,0.965996,326.445099,,20.0,,,0.001,
125,307.03,185,2.54,0.966017,323.485779,,20.0,,,0.001,
126,333.25,208,2.58,0.966091,352.058899,,20.0,,,0.001,
127,292.86,170,2.62,0.966105,303.249207,,20.0,,,0.001,
128,310.59,180,2.66,0.966095,324.594025,,20.0,,,0.001,
129,326.96,196,2.71,0.966097,343.191162,,20.0,,,0.001,
130,273.62,170,2.75,0.966064,294.840027,,20.0,,,0.001,
131,169.28,132,2.78,0.96598,166.982422,,20.0,,,0.001,
