episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,13.36,17,0.02,0.97387,-1.326249,,6.644787,,,0.001,
2,27.12,23,0.02,0.973484,26.727539,,6.998156,,,0.001,
3,11.3,14,0.03,0.973457,-4.99076,,6.923282,,,0.001,
4,15.91,20,0.03,0.973407,0.619315,,6.935178,,,0.001,
5,15.99,18,0.03,0.973381,3.603163,,6.989749,,,0.001,
6,45.59,35,0.04,0.973349,68.086929,,7.816293,,,0.001,
7,12.29,14,0.04,0.973284,-8.097682,,7.733302,,,0.001,
8,17.59,21,0.05,0.973149,-0.616549,,7.754576,,,0.001,
9,41.87,39,0.06,0.97301,43.744396,,8.32072,,,0.001,
10,19.37,25,0.06,0.972811,-2.660223,,8.312221,,,0.001,
11,10.82,19,0.07,0.972644,-18.65134,,8.073859,,,0.001,
12,213.06,95,0.09,0.972409,329.537567,,12.46781,,,0.001,
13,64.8,43,0.1,0.972152,79.451317,,13.509793,,,0.001,
14,150.49,76,0.11,0.971928,219.629883,,16.287586,,,0.001,
15,30.13,44,0.12,0.971802,-11.957434,,16.109704,,,0.001,
16,187.83,85,0.14,0.97175,278.40097,,19.520088,,,0.001,
17,157.74,76,0.16,0.971729,214.693726,,22.175994,,,0.001,
18,144.91,80,0.17,0.971637,170.74205,,24.427881,,,0.001,
19,30.3,27,0.18,0.971579,-29.867214,,24.036237,,,0.001,
20,206.61,90,0.2,0.971516,267.246033,,27.44696,,,0.001,
21,123.17,63,0.21,0.971437,125.203697,,29.053756,,,0.001,
22,213.14,95,0.23,0.971367,247.791092,,32.174569,,,0.001,
23,216.24,97,0.25,0.971312,247.68074,,35.284263,,,0.001,
24,212.06,118,0.28,0.971324,225.347534,,37.969312,,,0.001,
25,212.25,94,0.3,0.971366,225.264343,,40.74076,,,0.001,
26,170.62,84,0.31,0.971448,153.754028,,42.604317,,,0.001,
27,131.13,66,0.33,0.971542,78.534714,,43.554854,,,0.001,
28,165.51,77,0.34,0.971559,121.714706,,45.200815,,,0.001,
29,77.22,67,0.36,0.971565,-30.523233,,44.823698,,,0.001,
30,226.07,106,0.38,0.971526,195.733047,,47.409788,,,0.001,
31,163.6,77,0.39,0.971371,98.696518,,48.803249,,,0.001,
32,215.01,100,0.41,0.971246,181.035339,,51.062056,,,0.001,
33,220.73,110,0.44,0.971097,162.479721,,53.194733,,,0.001,
34,203.36,90,0.46,0.971009,152.764328,,55.002556,,,0.001,
35,117.51,61,0.47,0.970922,4.189648,,55.058734,,,0.001,
36,68.32,41,0.48,0.970822,-83.348457,,54.061105,,,0.001,
37,173.26,84,0.49,0.970691,90.781143,,55.290997,,,0.001,
38,120.63,65,0.51,0.970571,3.509412,,55.344048,,,0.001,
39,189.19,88,0.52,0.970493,113.425224,,56.711839,,,0.001,
40,201.92,90,0.54,0.970477,138.045258,,58.301397,,,0.001,
41,180.19,82,0.56,0.970394,83.595528,,59.469267,,,0.001,
42,179.37,87,0.58,0.970297,63.759323,,60.34199,,,0.001,
43,189.63,86,0.59,0.970204,90.963959,,61.507413,,,0.001,
44,106.42,59,0.61,0.970102,-45.223526,,60.951996,,,0.001,
45,184.05,84,0.62,0.97002,83.744209,,62.000311,,,0.001,
46,196.87,89,0.64,0.969952,98.962799,,63.236885,,,0.001,
47,184.56,83,0.66,0.96982,67.959091,,64.231443,,,0.001,
48,199.38,89,0.68,0.969711,97.345604,,65.441447,,,0.001,
49,196.01,88,0.69,0.969574,75.749771,,66.485793,,,0.001,
50,201.2,89,0.71,0.969464,90.599106,,67.607925,,,0.001,
51,201.53,89,0.82,0.969403,89.024796,,68.667645,,,0.001,
52,187.09,85,0.83,0.969284,49.376896,,69.385809,,,0.001,
53,180.67,84,0.85,0.969252,55.741909,,69.967031,,,0.001,
54,185.0,84,0.87,0.969253,53.928215,,70.61372,,,0.001,
55,191.72,87,0.89,0.969248,56.063251,,71.331313,,,0.001,
56,196.23,88,0.91,0.969211,56.5844,,72.101554,,,0.001,
57,203.87,91,0.92,0.969196,71.000282,,72.97013,,,0.001,
58,88.32,50,0.93,0.969152,-119.330544,,71.538928,,,0.001,
59,95.6,53,0.95,0.969165,-88.506912,,70.325591,,,0.001,
60,191.62,87,0.96,0.969176,56.918411,,71.050237,,,0.001,
61,49.83,33,0.97,0.969174,-175.167374,,68.869591,,,0.001,
62,123.45,65,0.98,0.969172,-45.288898,,68.292498,,,0.001,
63,203.41,90,1.0,0.969127,78.365524,,69.358206,,,0.001,
64,58.56,37,1.01,0.969109,-146.458221,,67.390758,,,0.001,
65,190.56,92,1.03,0.969166,79.86586,,68.311187,,,0.001,
66,22.52,20,1.03,0.969175,-243.724899,,65.500277,,,0.001,
67,126.86,64,1.05,0.969202,-20.417824,,65.223442,,,0.001,
68,100.3,53,1.06,0.969233,-55.066864,,64.520271,,,0.001,
69,159.1,76,1.07,0.969308,42.288525,,64.97872,,,0.001,
70,133.11,67,1.09,0.969349,-11.850939,,64.857158,,,0.001,
71,134.16,73,1.1,0.969439,-2.007827,,64.777191,,,0.001,
72,108.78,58,1.11,0.969491,-50.169044,,64.181096,,,0.001,
73,94.33,53,1.12,0.969502,-72.053345,,63.34862,,,0.001,
74,74.96,43,1.13,0.969525,-93.220291,,62.137749,,,0.001,
75,93.89,52,1.14,0.969588,-55.022831,,61.403433,,,0.001,
76,120.99,64,1.16,0.969625,-14.831316,,61.248223,,,0.001,
77,112.84,60,1.17,0.969688,-18.798958,,60.971908,,,0.001,
78,91.74,52,1.18,0.969774,-60.015495,,60.190533,,,0.001,
79,96.45,54,1.19,0.969866,-47.22501,,59.566102,,,0.001,
80,142.93,71,1.2,0.969942,28.790436,,59.937887,,,0.001,
81,79.49,46,1.21,0.970025,-74.328171,,58.960515,,,0.001,
82,106.11,60,1.23,0.970075,-32.387444,,58.590245,,,0.001,
83,146.41,71,1.24,0.970178,50.871086,,59.152857,,,0.001,
84,132.4,66,1.25,0.970287,23.411144,,59.423111,,,0.001,
85,134.31,68,1.27,0.97035,15.133016,,59.661108,,,0.001,
86,142.22,70,1.28,0.970418,33.237114,,60.065257,,,0.001,
87,176.66,81,1.3,0.970458,81.429131,,61.125965,,,0.001,
88,180.23,82,1.32,0.970552,94.548027,,62.220457,,,0.001,
89,134.16,68,1.33,0.970622,1.125295,,62.25474,,,0.001,
90,172.01,82,1.35,0.970686,68.807114,,63.122608,,,0.001,
91,184.97,91,1.37,0.970761,83.520905,,64.155536,,,0.001,
92,156.23,73,1.38,0.970827,42.84634,,64.69685,,,0.001,
93,213.9,115,1.41,0.970907,115.627983,,66.118808,,,0.001,
94,193.09,90,1.42,0.971056,87.393379,,67.094497,,,0.001,
95,220.82,110,1.45,0.971196,110.487228,,68.477871,,,0.001,
96,240.8,121,1.47,0.971277,105.241631,,69.878335,,,0.001,
97,199.08,97,1.49,0.971387,63.426456,,70.61291,,,0.001,
98,190.48,92,1.51,0.97153,54.457611,,71.243767,,,0.001,
99,246.71,124,1.54,0.971707,118.967392,,72.663534,,,0.001,
100,243.59,118,1.56,0.971869,92.654564,,73.827583,,,0.001,
101,261.51,148,1.73,0.972016,103.685097,,75.137734,,,0.001,
102,290.62,159,1.76,0.972143,105.290535,,76.472425,,,0.001,
103,148.15,119,1.78,0.972239,-62.595158,,75.697806,,,0.001,
104,145.58,141,1.81,0.972282,-115.068237,,74.310865,,,0.001,
105,266.19,141,1.84,0.972225,89.036919,,75.546628,,,0.001,
106,262.86,135,1.87,0.972155,82.798088,,76.630444,,,0.001,
107,301.94,177,1.91,0.971996,98.271317,,77.986202,,,0.001,
108,240.4,116,1.93,0.971825,82.33358,,79.092189,,,0.001,
109,206.74,108,1.95,0.971691,23.649534,,79.352912,,,0.001,
110,198.1,112,1.98,0.971616,1.431388,,79.308602,,,0.001,
111,244.68,126,2.0,0.971546,51.679592,,79.963993,,,0.001,
112,185.71,98,2.02,0.971421,-11.13719,,79.892879,,,0.001,
113,232.84,144,2.05,0.971353,23.010639,,80.142583,,,0.001,
114,146.04,85,2.07,0.971256,-73.83213,,79.283597,,,0.001,
115,201.74,92,2.09,0.971204,47.028767,,79.799514,,,0.001,
