episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,61.57,42,0.01,0.974077,,,,,,0.001,
2,3.64,10,0.01,0.974077,,,,,,0.001,
3,8.48,14,0.01,0.974077,,,,,,0.001,
4,12.98,16,0.01,0.974077,,,,,,0.001,
5,60.14,36,0.05,0.9747,0.104374,,21.398649,,,0.001,
6,6.96,10,0.05,0.9747,,,,,,0.001,
7,4.52,10,0.05,0.9747,,,,,,0.001,
8,3.6,8,0.05,0.9747,,,,,,0.001,
9,5.17,8,0.05,0.9747,,,,,,0.001,
10,3.97,8,0.06,0.974644,0.122301,,1.843921,,,0.001,
11,57.51,34,0.06,0.974644,,,,,,0.001,
12,57.8,40,0.07,0.974644,,,,,,0.001,
13,6.38,9,0.07,0.974644,,,,,,0.001,
14,5.03,9,0.07,0.974644,,,,,,0.001,
15,88.37,52,0.09,0.974606,-0.014521,,30.162191,,,0.001,
16,8.38,12,0.09,0.974606,,,,,,0.001,
17,41.66,32,0.09,0.974606,,,,,,0.001,
18,4.95,8,0.09,0.974606,,,,,,0.001,
19,115.71,69,0.1,0.974606,,,,,,0.001,
20,7.02,9,0.11,0.974494,-0.070391,,32.762733,,,0.001,
21,61.96,40,0.12,0.974494,,,,,,0.001,
22,70.14,57,0.13,0.974494,,,,,,0.001,
23,116.83,63,0.14,0.974494,,,,,,0.001,
24,6.39,11,0.14,0.974494,,,,,,0.001,
25,58.0,40,0.16,0.974383,0.002985,,36.77021,,,0.001,
26,8.11,12,0.16,0.974383,,,,,,0.001,
27,12.12,15,0.16,0.974383,,,,,,0.001,
28,62.5,45,0.17,0.974383,,,,,,0.001,
29,11.99,18,0.17,0.974383,,,,,,0.001,
30,8.79,14,0.18,0.974249,-0.080948,,15.563378,,,0.001,
31,58.29,56,0.19,0.974249,,,,,,0.001,
32,41.09,33,0.19,0.974249,,,,,,0.001,
33,95.13,55,0.2,0.974249,,,,,,0.001,
34,11.4,23,0.2,0.974249,,,,,,0.001,
35,7.07,13,0.22,0.974106,-0.025089,,26.422369,,,0.001,
36,5.69,10,0.22,0.974106,,,,,,0.001,
37,120.29,69,0.23,0.974106,,,,,,0.001,
38,58.43,40,0.23,0.974106,,,,,,0.001,
39,45.39,37,0.24,0.974106,,,,,,0.001,
40,64.22,47,0.26,0.974042,-0.008668,,34.293884,,,0.001,
41,135.16,72,0.27,0.974042,,,,,,0.001,
42,12.54,15,0.27,0.974042,,,,,,0.001,
43,7.51,11,0.27,0.974042,,,,,,0.001,
44,134.09,73,0.28,0.974042,,,,,,0.001,
45,138.89,75,0.31,0.973849,-0.190098,,55.005768,,,0.001,
46,29.56,27,0.32,0.973849,,,,,,0.001,
47,88.05,49,0.32,0.973849,,,,,,0.001,
48,127.69,67,0.33,0.973849,,,,,,0.001,
49,5.68,13,0.33,0.973849,,,,,,0.001,
50,13.7,20,0.35,0.97377,0.045634,,38.414185,,,0.001,
51,147.8,77,0.41,0.97377,,,,,,0.001,
52,165.57,88,0.42,0.97377,,,,,,0.001,
53,100.87,56,0.43,0.97377,,,,,,0.001,
54,69.52,45,0.44,0.97377,,,,,,0.001,
55,114.01,63,0.47,0.973718,-0.004866,,58.577343,,,0.001,
56,28.74,51,0.48,0.973718,,,,,,0.001,
57,7.61,12,0.48,0.973718,,,,,,0.001,
58,119.31,64,0.49,0.973718,,,,,,0.001,
59,164.66,90,0.5,0.973718,,,,,,0.001,
60,8.0,17,0.53,0.973667,-0.018974,,45.090446,,,0.001,
61,19.21,29,0.53,0.973667,,,,,,0.001,
62,116.27,63,0.54,0.973667,,,,,,0.001,
63,134.14,70,0.55,0.973667,,,,,,0.001,
64,119.66,69,0.56,0.973667,,,,,,0.001,
65,125.28,66,0.59,0.973593,-0.093781,,53.821205,,,0.001,
66,93.22,53,0.6,0.973593,,,,,,0.001,
67,97.97,56,0.61,0.973593,,,,,,0.001,
68,84.51,48,0.61,0.973593,,,,,,0.001,
69,102.68,57,0.62,0.973593,,,,,,0.001,
70,171.87,91,0.66,0.9735,-0.034634,,54.333466,,,0.001,
71,101.95,58,0.67,0.9735,,,,,,0.001,
72,80.02,47,0.67,0.9735,,,,,,0.001,
73,236.31,145,0.69,0.9735,,,,,,0.001,
74,148.51,84,0.7,0.9735,,,,,,0.001,
75,105.14,60,0.74,0.973364,-0.090872,,65.448769,,,0.001,
76,141.02,78,0.75,0.973364,,,,,,0.001,
77,168.81,91,0.77,0.973364,,,,,,0.001,
78,181.43,104,0.78,0.973364,,,,,,0.001,
79,128.2,67,0.79,0.973364,,,,,,0.001,
80,154.27,78,0.83,0.973239,0.001498,,68.94857,,,0.001,
81,78.23,46,0.84,0.973239,,,,,,0.001,
82,125.17,66,0.85,0.973239,,,,,,0.001,
83,71.13,42,0.85,0.973239,,,,,,0.001,
84,135.78,72,0.86,0.973239,,,,,,0.001,
85,192.17,100,0.9,0.97312,0.005512,,59.907028,,,0.001,
86,148.7,76,0.91,0.97312,,,,,,0.001,
87,155.31,78,0.92,0.97312,,,,,,0.001,
88,60.29,36,0.93,0.97312,,,,,,0.001,
89,209.67,113,0.94,0.97312,,,,,,0.001,
90,107.12,59,0.98,0.97302,-0.00085,,67.329994,,,0.001,
91,88.64,50,0.98,0.97302,,,,,,0.001,
92,186.42,95,1.0,0.97302,,,,,,0.001,
93,183.93,94,1.01,0.97302,,,,,,0.001,
94,33.47,29,1.01,0.97302,,,,,,0.001,
95,178.0,88,1.05,0.972854,-0.092865,,68.537254,,,0.001,
96,173.57,88,1.07,0.972854,,,,,,0.001,
97,55.03,33,1.07,0.972854,,,,,,0.001,
98,225.1,129,1.09,0.972854,,,,,,0.001,
99,207.37,113,1.1,0.972854,,,,,,0.001,
100,201.42,108,1.15,0.972734,0.047539,,77.832321,,,0.001,
101,214.04,121,1.25,0.972734,,,,,,0.001,
102,51.94,39,1.26,0.972734,,,,,,0.001,
103,185.68,97,1.27,0.972734,,,,,,0.001,
104,204.94,105,1.28,0.972734,,,,,,0.001,
105,169.83,103,1.34,0.972649,0.01186,,73.809525,,,0.001,
106,205.34,106,1.35,0.972649,,,,,,0.001,
107,33.86,29,1.35,0.972649,,,,,,0.001,
108,212.42,111,1.37,0.972649,,,,,,0.001,
109,158.0,81,1.38,0.972649,,,,,,0.001,
110,185.9,96,1.42,0.972549,-0.034517,,75.77562,,,0.001,
111,69.59,52,1.43,0.972549,,,,,,0.001,
112,38.77,32,1.43,0.972549,,,,,,0.001,
113,25.39,32,1.44,0.972549,,,,,,0.001,
114,167.0,89,1.45,0.972549,,,,,,0.001,
115,246.88,149,1.5,0.972422,-0.047382,,63.933704,,,0.001,
116,206.57,108,1.51,0.972422,,,,,,0.001,
117,8.85,18,1.51,0.972422,,,,,,0.001,
118,40.68,39,1.52,0.972422,,,,,,0.001,
119,175.58,89,1.53,0.972422,,,,,,0.001,
120,207.96,105,1.57,0.972299,-0.017701,,71.641373,,,0.001,
121,210.1,115,1.59,0.972299,,,,,,0.001,
122,213.09,112,1.6,0.972299,,,,,,0.001,
123,177.75,90,1.61,0.972299,,,,,,0.001,
124,128.81,68,1.62,0.972299,,,,,,0.001,
125,133.77,75,1.67,0.972181,-0.034406,,75.927032,,,0.001,
126,115.12,62,1.68,0.972181,,,,,,0.001,
127,37.77,31,1.68,0.972181,,,,,,0.001,
128,107.57,59,1.69,0.972181,,,,,,0.001,
129,178.83,90,1.7,0.972181,,,,,,0.001,
130,187.7,98,1.74,0.972025,-0.09293,,64.111198,,,0.001,
131,142.02,77,1.75,0.972025,,,,,,0.001,
132,189.49,104,1.76,0.972025,,,,,,0.001,
133,181.11,93,1.77,0.972025,,,,,,0.001,
134,196.74,104,1.79,0.972025,,,,,,0.001,
135,194.17,100,1.84,0.971919,0.031212,,76.526329,,,0.001,
136,171.66,91,1.85,0.971919,,,,,,0.001,
137,24.84,24,1.85,0.971919,,,,,,0.001,
138,187.86,94,1.86,0.971919,,,,,,0.001,
139,226.76,126,1.88,0.971919,,,,,,0.001,
140,185.07,98,1.93,0.971741,-0.146184,,75.772697,,,0.001,
141,192.23,98,1.94,0.971741,,,,,,0.001,
142,122.07,65,1.95,0.971741,,,,,,0.001,
143,129.77,68,1.96,0.971741,,,,,,0.001,
144,204.75,108,1.97,0.971741,,,,,,0.001,
145,181.55,94,2.02,0.971538,-0.063935,,73.925652,,,0.001,
146,181.45,94,2.03,0.971538,,,,,,0.001,
147,204.35,109,2.04,0.971538,,,,,,0.001,
148,154.72,79,2.05,0.971538,,,,,,0.001,
149,124.66,66,2.06,0.971538,,,,,,0.001,
150,199.77,107,2.11,0.971383,0.044919,,74.805847,,,0.001,
151,208.65,111,2.2,0.971383,,,,,,0.001,
152,124.95,66,2.21,0.971383,,,,,,0.001,
153,195.21,99,2.22,0.971383,,,,,,0.001,
154,122.15,65,2.23,0.971383,,,,,,0.001,
155,202.32,105,2.28,0.971276,0.049379,,75.19384,,,0.001,
156,160.4,80,2.29,0.971276,,,,,,0.001,
157,184.7,94,2.3,0.971276,,,,,,0.001,
158,208.22,108,2.32,0.971276,,,,,,0.001,
159,183.5,92,2.33,0.971276,,,,,,0.001,
160,171.01,89,2.38,0.971163,-0.031713,,78.359764,,,0.001,
161,160.01,85,2.4,0.971163,,,,,,0.001,
162,174.68,89,2.41,0.971163,,,,,,0.001,
163,181.93,91,2.42,0.971163,,,,,,0.001,
164,138.52,72,2.43,0.971163,,,,,,0.001,
165,231.96,126,2.48,0.971003,-0.090763,,76.381592,,,0.001,
166,206.1,116,2.5,0.971003,,,,,,0.001,
167,22.38,22,2.5,0.971003,,,,,,0.001,
168,146.36,76,2.51,0.971003,,,,,,0.001,
169,219.27,115,2.52,0.971003,,,,,,0.001,
170,182.45,93,2.57,0.970828,-0.052167,,74.661423,,,0.001,
171,55.71,41,2.58,0.970828,,,,,,0.001,
172,222.07,120,2.59,0.970828,,,,,,0.001,
173,196.4,107,2.6,0.970828,,,,,,0.001,
174,232.64,130,2.62,0.970828,,,,,,0.001,
175,152.77,78,2.67,0.970674,-0.011422,,76.123589,,,0.001,
176,169.35,86,2.68,0.970674,,,,,,0.001,
177,193.2,98,2.69,0.970674,,,,,,0.001,
178,221.06,114,2.71,0.970674,,,,,,0.001,
179,185.92,95,2.72,0.970674,,,,,,0.001,
180,157.11,80,2.77,0.970578,0.055745,,79.157516,,,0.001,
181,209.86,112,2.78,0.970578,,,,,,0.001,
182,207.76,107,2.8,0.970578,,,,,,0.001,
183,203.32,103,2.81,0.970578,,,,,,0.001,
184,181.82,93,2.82,0.970578,,,,,,0.001,
185,151.28,77,2.87,0.970503,0.01488,,80.033028,,,0.001,
186,151.45,77,2.88,0.970503,,,,,,0.001,
187,193.38,99,2.89,0.970503,,,,,,0.001,
188,177.26,90,2.91,0.970503,,,,,,0.001,
189,174.3,89,2.92,0.970503,,,,,,0.001,
190,34.4,28,2.95,0.970397,-0.091227,,71.542664,,,0.001,
191,32.01,29,2.95,0.970397,,,,,,0.001,
192,182.81,94,2.97,0.970397,,,,,,0.001,
193,189.68,96,2.98,0.970397,,,,,,0.001,
194,177.29,90,2.99,0.970397,,,,,,0.001,
195,170.61,86,3.03,0.970289,-0.034556,,73.275269,,,0.001,
196,176.63,93,3.04,0.970289,,,,,,0.001,
197,120.04,69,3.05,0.970289,,,,,,0.001,
198,169.69,87,3.07,0.970289,,,,,,0.001,
199,198.3,103,3.08,0.970289,,,,,,0.001,
200,151.48,78,3.12,0.970146,-0.058094,,71.578377,,,0.001,
201,134.82,70,3.21,0.970146,,,,,,0.001,
202,168.51,87,3.23,0.970146,,,,,,0.001,
203,180.17,105,3.24,0.970146,,,,,,0.001,
204,138.23,72,3.25,0.970146,,,,,,0.001,
205,155.47,79,3.29,0.970026,0.006554,,68.42598,,,0.001,
206,183.19,97,3.31,0.970026,,,,,,0.001,
207,142.26,73,3.32,0.970026,,,,,,0.001,
208,169.6,90,3.33,0.970026,,,,,,0.001,
209,38.58,31,3.33,0.970026,,,,,,0.001,
210,191.62,99,3.38,0.969951,0.040401,,69.571533,,,0.001,
211,158.8,82,3.39,0.969951,,,,,,0.001,
212,132.81,70,3.4,0.969951,,,,,,0.001,
213,135.25,70,3.41,0.969951,,,,,,0.001,
214,184.71,95,3.42,0.969951,,,,,,0.001,
215,84.43,51,3.45,0.969835,-0.109739,,65.025108,,,0.001,
216,183.29,94,3.47,0.969835,,,,,,0.001,
217,160.7,82,3.48,0.969835,,,,,,0.001,
218,205.24,105,3.49,0.969835,,,,,,0.001,
219,128.69,68,3.5,0.969835,,,,,,0.001,
220,173.51,87,3.55,0.969743,0.009438,,74.629166,,,0.001,
221,189.69,102,3.56,0.969743,,,,,,0.001,
222,176.17,90,3.57,0.969743,,,,,,0.001,
223,207.58,110,3.58,0.969743,,,,,,0.001,
224,183.27,94,3.6,0.969743,,,,,,0.001,
225,180.77,91,3.65,0.969612,-0.071502,,77.871193,,,0.001,
226,177.45,91,3.66,0.969612,,,,,,0.001,
227,203.48,105,3.67,0.969612,,,,,,0.001,
228,197.33,100,3.69,0.969612,,,,,,0.001,
229,146.33,80,3.7,0.969612,,,,,,0.001,
230,141.73,73,3.74,0.969458,-0.127788,,74.999077,,,0.001,
231,160.69,82,3.75,0.969458,,,,,,0.001,
232,163.84,81,3.76,0.969458,,,,,,0.001,
233,177.17,92,3.78,0.969458,,,,,,0.001,
234,157.87,86,3.79,0.969458,,,,,,0.001,
235,223.61,137,3.84,0.969283,-0.050435,,73.732986,,,0.001,
236,203.81,104,3.86,0.969283,,,,,,0.001,
237,193.03,99,3.87,0.969283,,,,,,0.001,
238,193.7,101,3.88,0.969283,,,,,,0.001,
239,189.84,101,3.9,0.969283,,,,,,0.001,
240,203.94,108,3.95,0.969087,-0.049582,,79.604393,,,0.001,
241,183.13,93,3.96,0.969087,,,,,,0.001,
242,203.89,108,3.98,0.969087,,,,,,0.001,
243,208.34,118,3.99,0.969087,,,,,,0.001,
244,213.85,122,4.01,0.969087,,,,,,0.001,
245,204.81,104,4.06,0.968902,-0.00405,,80.229973,,,0.001,
246,202.72,111,4.08,0.968902,,,,,,0.001,
247,199.31,104,4.09,0.968902,,,,,,0.001,
248,203.93,119,4.11,0.968902,,,,,,0.001,
249,204.21,111,4.12,0.968902,,,,,,0.001,
250,186.42,95,4.18,0.968721,-0.015708,,78.912163,,,0.001,
251,200.22,107,4.31,0.968721,,,,,,0.001,
252,114.85,75,4.34,0.968721,,,,,,0.001,
253,213.36,113,4.35,0.968721,,,,,,0.001,
254,194.93,104,4.37,0.968721,,,,,,0.001,
255,209.64,114,4.42,0.968554,-0.027563,,76.187866,,,0.001,
256,205.35,110,4.44,0.968554,,,,,,0.001,
257,185.18,102,4.45,0.968554,,,,,,0.001,
258,204.39,105,4.46,0.968554,,,,,,0.001,
259,185.58,94,4.48,0.968554,,,,,,0.001,
260,198.72,109,4.53,0.968383,-0.027349,,78.884712,,,0.001,
261,107.22,73,4.54,0.968383,,,,,,0.001,
262,210.62,119,4.55,0.968383,,,,,,0.001,
263,202.05,115,4.57,0.968383,,,,,,0.001,
264,200.89,107,4.58,0.968383,,,,,,0.001,
265,199.77,109,4.64,0.968259,0.058659,,73.598846,,,0.001,
266,206.29,106,4.65,0.968259,,,,,,0.001,
267,83.27,58,4.66,0.968259,,,,,,0.001,
