episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
1,13.36,17,0.02,0.974077,,,,,
2,26.76,22,0.02,0.974077,,,,,
3,27.94,24,0.02,0.974077,,,,,
4,10.32,13,0.02,0.974077,,,,,
5,48.0,31,0.06,0.974701,63.171925,,0.776803,,
6,57.22,36,0.07,0.974701,,,,,
7,52.27,35,0.07,0.974701,,,,,
8,115.31,73,0.08,0.974701,,,,,
9,32.08,26,0.09,0.974701,,,,,
10,12.15,14,0.1,0.974766,127.291122,,2.395838,,
11,86.62,54,0.11,0.974766,,,,,
12,21.77,20,0.11,0.974766,,,,,
13,148.51,79,0.12,0.974766,,,,,
14,31.49,26,0.12,0.974766,,,,,
15,58.66,40,0.15,0.975094,158.593582,,4.364688,,
16,222.85,100,0.16,0.975094,,,,,
17,39.34,30,0.16,0.975094,,,,,
18,53.98,38,0.17,0.975094,,,,,
19,41.91,30,0.17,0.975094,,,,,
20,179.69,92,0.2,0.97559,244.897583,,7.388067,,
21,183.16,84,0.21,0.97559,,,,,
22,92.99,52,0.22,0.97559,,,,,
23,80.76,49,0.23,0.97559,,,,,
24,158.01,74,0.24,0.97559,,,,,
25,69.35,44,0.26,0.976,208.315964,,10.013275,,
26,115.01,65,0.27,0.976,,,,,
27,63.5,42,0.28,0.976,,,,,
28,168.7,81,0.29,0.976,,,,,
29,183.11,93,0.3,0.976,,,,,
30,126.86,68,0.33,0.976908,220.74968,,12.670876,,
31,138.18,70,0.34,0.976908,,,,,
32,118.35,71,0.35,0.976908,,,,,
33,62.38,40,0.35,0.976908,,,,,
34,171.5,91,0.36,0.976908,,,,,
35,115.24,64,0.4,0.977256,171.082855,,14.883599,,
36,185.79,90,0.41,0.977256,,,,,
37,207.1,116,0.42,0.977256,,,,,
38,148.32,75,0.43,0.977256,,,,,
39,140.28,74,0.44,0.977256,,,,,
40,122.07,100,0.49,0.977657,210.166031,,17.501901,,
41,151.47,84,0.5,0.977657,,,,,
42,22.59,20,0.5,0.977657,,,,,
43,25.38,22,0.5,0.977657,,,,,
44,183.48,95,0.52,0.977657,,,,,
45,18.74,18,0.54,0.978044,156.446228,,19.456391,,
46,174.76,87,0.55,0.978044,,,,,
47,213.55,127,0.56,0.978044,,,,,
48,173.37,88,0.57,0.978044,,,,,
49,186.61,102,0.59,0.978044,,,,,
50,185.08,91,0.64,0.978678,236.530487,,22.346341,,
51,222.7,130,0.75,0.978678,,,,,
52,228.96,142,0.77,0.978678,,,,,
53,184.87,99,0.78,0.978678,,,,,
54,189.23,96,0.79,0.978678,,,,,
55,155.42,78,0.85,0.978984,218.382767,,25.161039,,
56,32.13,27,0.85,0.978984,,,,,
57,195.02,105,0.87,0.978984,,,,,
58,221.33,138,0.88,0.978984,,,,,
59,210.15,116,0.9,0.978984,,,,,
60,223.03,122,0.95,0.979244,206.221085,,27.755758,,
61,25.02,22,0.96,0.979244,,,,,
62,224.78,140,0.98,0.979244,,,,,
63,173.18,82,0.99,0.979244,,,,,
64,201.75,101,1.0,0.979244,,,,,
65,53.64,39,1.03,0.97927,169.076828,,29.923922,,
66,34.38,28,1.04,0.97927,,,,,
67,227.64,125,1.05,0.97927,,,,,
68,211.76,111,1.07,0.97927,,,,,
69,205.4,106,1.08,0.97927,,,,,
70,32.41,26,1.11,0.979112,177.159912,,32.201653,,
71,207.23,112,1.13,0.979112,,,,,
72,205.83,102,1.14,0.979112,,,,,
73,87.89,60,1.15,0.979112,,,,,
74,56.63,41,1.15,0.979112,,,,,
75,29.2,25,1.19,0.978962,125.462639,,33.779545,,
76,213.3,111,1.2,0.978962,,,,,
77,217.38,110,1.21,0.978962,,,,,
78,228.47,117,1.23,0.978962,,,,,
79,207.35,106,1.24,0.978962,,,,,
80,203.24,95,1.3,0.978834,211.68219,,36.433847,,
81,218.43,101,1.31,0.978834,,,,,
